Entity: AND / SP.POP.TOTL
Year: 1960 | Value: 9510
Year: 1961 | Value: 10283
Year: 1962 | Value: 11086
Year: 1963 | Value: 11915
Year: 1964 | Value: 12764
Year: 1965 | Value: 13634
Year: 1966 | Value: 14626
Year: 1967 | Value: 15837
Year: 1968 | Value: 17176
Year: 1969 | Value: 18555
Year: 1970 | Value: 19977
Year: 1971 | Value: 21442
Year: 1972 | Value: 22957
Year: 1973 | Value: 24523
Year: 1974 | Value: 26130
Year: 1975 | Value: 27773
Year: 1976 | Value: 29436
Year: 1977 | Value: 31097
Year: 1978 | Value: 32735
Year: 1979 | Value: 34306
Year: 1980 | Value: 35782
Year: 1981 | Value: 37169
Year: 1982 | Value: 38764
Year: 1983 | Value: 40565
Year: 1984 | Value: 42273
Year: 1985 | Value: 43825
Year: 1986 | Value: 45734
Year: 1987 | Value: 47653
Year: 1988 | Value: 49416
Year: 1989 | Value: 50620
Year: 1990 | Value: 52597
Year: 1991 | Value: 56667
Year: 1992 | Value: 60200
Year: 1993 | Value: 63272
Year: 1994 | Value: 64612
Year: 1995 | Value: 63912
Year: 1996 | Value: 63984
Year: 1997 | Value: 64700
Year: 1998 | Value: 65382
Year: 1999 | Value: 65710
Year: 2000 | Value: 65685
Year: 2001 | Value: 65852
Year: 2002 | Value: 66506
Year: 2003 | Value: 69486
Year: 2004 | Value: 74325
Year: 2005 | Value: 77421
Year: 2006 | Value: 79585
Year: 2007 | Value: 81877
Year: 2008 | Value: 83495
Year: 2009 | Value: 83888
Year: 2010 | Value: 80706
Year: 2011 | Value: 77783
Year: 2012 | Value: 76834
Year: 2013 | Value: 75194
Year: 2014 | Value: 73737
Year: 2015 | Value: 72174
Year: 2016 | Value: 72181
Year: 2017 | Value: 73763
Year: 2018 | Value: 75162
Year: 2019 | Value: 76474
Year: 2020 | Value: 77380
Year: 2021 | Value: 78364
Year: 2022 | Value: 79705
Year: 2023 | Value: 80856
Year: 2024 | Value: 81938
Remark: Andorra
Remark: Population, total
