Entity: COG / SP.POP.TOTL
Year: 1960 | Value: 1056732
Year: 1961 | Value: 1084389
Year: 1962 | Value: 1113175
Year: 1963 | Value: 1143263
Year: 1964 | Value: 1174816
Year: 1965 | Value: 1207880
Year: 1966 | Value: 1242534
Year: 1967 | Value: 1278691
Year: 1968 | Value: 1316519
Year: 1969 | Value: 1356182
Year: 1970 | Value: 1397638
Year: 1971 | Value: 1441039
Year: 1972 | Value: 1486468
Year: 1973 | Value: 1533680
Year: 1974 | Value: 1582301
Year: 1975 | Value: 1627032
Year: 1976 | Value: 1667225
Year: 1977 | Value: 1707568
Year: 1978 | Value: 1748089
Year: 1979 | Value: 1788524
Year: 1980 | Value: 1828985
Year: 1981 | Value: 1869759
Year: 1982 | Value: 1910430
Year: 1983 | Value: 1950321
Year: 1984 | Value: 1999528
Year: 1985 | Value: 2059311
Year: 1986 | Value: 2120602
Year: 1987 | Value: 2183473
Year: 1988 | Value: 2247653
Year: 1989 | Value: 2313558
Year: 1990 | Value: 2380560
Year: 1991 | Value: 2449229
Year: 1992 | Value: 2519465
Year: 1993 | Value: 2595124
Year: 1994 | Value: 2673144
Year: 1995 | Value: 2749461
Year: 1996 | Value: 2826785
Year: 1997 | Value: 2887862
Year: 1998 | Value: 2952061
Year: 1999 | Value: 3032874
Year: 2000 | Value: 3151345
Year: 2001 | Value: 3272537
Year: 2002 | Value: 3350771
Year: 2003 | Value: 3445753
Year: 2004 | Value: 3565554
Year: 2005 | Value: 3696393
Year: 2006 | Value: 3837409
Year: 2007 | Value: 3980430
Year: 2008 | Value: 4113517
Year: 2009 | Value: 4281219
Year: 2010 | Value: 4462290
Year: 2011 | Value: 4609724
Year: 2012 | Value: 4740450
Year: 2013 | Value: 4857099
Year: 2014 | Value: 4975880
Year: 2015 | Value: 5097581
Year: 2016 | Value: 5222536
Year: 2017 | Value: 5351011
Year: 2018 | Value: 5483118
Year: 2019 | Value: 5616661
Year: 2020 | Value: 5752791
Year: 2021 | Value: 5892183
Year: 2022 | Value: 6035104
Year: 2023 | Value: 6182885
Year: 2024 | Value: 6332961
Remark: Congo, Rep.
Remark: Population, total
