Entity: CRI / SP.POP.TOTL
Year: 1960 | Value: 1327496
Year: 1961 | Value: 1377920
Year: 1962 | Value: 1429445
Year: 1963 | Value: 1481604
Year: 1964 | Value: 1533960
Year: 1965 | Value: 1586208
Year: 1966 | Value: 1638116
Year: 1967 | Value: 1689523
Year: 1968 | Value: 1739731
Year: 1969 | Value: 1789276
Year: 1970 | Value: 1838949
Year: 1971 | Value: 1888539
Year: 1972 | Value: 1938248
Year: 1973 | Value: 1988343
Year: 1974 | Value: 2039643
Year: 1975 | Value: 2092719
Year: 1976 | Value: 2147774
Year: 1977 | Value: 2205025
Year: 1978 | Value: 2264510
Year: 1979 | Value: 2326490
Year: 1980 | Value: 2390633
Year: 1981 | Value: 2456637
Year: 1982 | Value: 2524806
Year: 1983 | Value: 2595153
Year: 1984 | Value: 2667595
Year: 1985 | Value: 2741894
Year: 1986 | Value: 2817216
Year: 1987 | Value: 2892699
Year: 1988 | Value: 2968103
Year: 1989 | Value: 3043827
Year: 1990 | Value: 3121706
Year: 1991 | Value: 3202176
Year: 1992 | Value: 3284258
Year: 1993 | Value: 3367434
Year: 1994 | Value: 3451122
Year: 1995 | Value: 3535176
Year: 1996 | Value: 3619013
Year: 1997 | Value: 3701711
Year: 1998 | Value: 3782838
Year: 1999 | Value: 3862101
Year: 2000 | Value: 3937739
Year: 2001 | Value: 4008947
Year: 2002 | Value: 4075705
Year: 2003 | Value: 4138784
Year: 2004 | Value: 4200078
Year: 2005 | Value: 4261240
Year: 2006 | Value: 4321340
Year: 2007 | Value: 4380248
Year: 2008 | Value: 4440056
Year: 2009 | Value: 4499791
Year: 2010 | Value: 4555962
Year: 2011 | Value: 4609833
Year: 2012 | Value: 4663934
Year: 2013 | Value: 4716147
Year: 2014 | Value: 4767119
Year: 2015 | Value: 4818038
Year: 2016 | Value: 4866998
Year: 2017 | Value: 4913177
Year: 2018 | Value: 4957818
Year: 2019 | Value: 4999553
Year: 2020 | Value: 5034320
Year: 2021 | Value: 5059988
Year: 2022 | Value: 5081765
Year: 2023 | Value: 5105525
Year: 2024 | Value: 5129910
Remark: Costa Rica
Remark: Population, total
