Entity: ECU / SP.POP.TOTL
Year: 1960 | Value: 4590891
Year: 1961 | Value: 4722331
Year: 1962 | Value: 4859269
Year: 1963 | Value: 5001716
Year: 1964 | Value: 5149918
Year: 1965 | Value: 5303963
Year: 1966 | Value: 5463748
Year: 1967 | Value: 5629057
Year: 1968 | Value: 5799680
Year: 1969 | Value: 5975236
Year: 1970 | Value: 6155387
Year: 1971 | Value: 6340052
Year: 1972 | Value: 6529034
Year: 1973 | Value: 6722033
Year: 1974 | Value: 6918573
Year: 1975 | Value: 7118251
Year: 1976 | Value: 7320912
Year: 1977 | Value: 7526819
Year: 1978 | Value: 7736167
Year: 1979 | Value: 7948869
Year: 1980 | Value: 8165877
Year: 1981 | Value: 8386910
Year: 1982 | Value: 8611298
Year: 1983 | Value: 8840417
Year: 1984 | Value: 9074782
Year: 1985 | Value: 9311154
Year: 1986 | Value: 9545998
Year: 1987 | Value: 9779290
Year: 1988 | Value: 10010808
Year: 1989 | Value: 10241852
Year: 1990 | Value: 10473673
Year: 1991 | Value: 10702380
Year: 1992 | Value: 10930128
Year: 1993 | Value: 11154274
Year: 1994 | Value: 11372197
Year: 1995 | Value: 11590514
Year: 1996 | Value: 11810950
Year: 1997 | Value: 12031127
Year: 1998 | Value: 12251184
Year: 1999 | Value: 12470795
Year: 2000 | Value: 12689206
Year: 2001 | Value: 12910740
Year: 2002 | Value: 13138472
Year: 2003 | Value: 13372306
Year: 2004 | Value: 13608701
Year: 2005 | Value: 13846163
Year: 2006 | Value: 14086131
Year: 2007 | Value: 14328773
Year: 2008 | Value: 14575202
Year: 2009 | Value: 14825954
Year: 2010 | Value: 15076695
Year: 2011 | Value: 15326227
Year: 2012 | Value: 15572194
Year: 2013 | Value: 15807128
Year: 2014 | Value: 16035124
Year: 2015 | Value: 16266225
Year: 2016 | Value: 16505139
Year: 2017 | Value: 16759519
Year: 2018 | Value: 17049547
Year: 2019 | Value: 17340021
Year: 2020 | Value: 17546065
Year: 2021 | Value: 17682454
Year: 2022 | Value: 17823897
Year: 2023 | Value: 17980083
Year: 2024 | Value: 18135478
Remark: Ecuador
Remark: Population, total
