Entity: GNB / SP.POP.TOTL
Year: 1960 | Value: 577633
Year: 1961 | Value: 582532
Year: 1962 | Value: 589474
Year: 1963 | Value: 594418
Year: 1964 | Value: 588543
Year: 1965 | Value: 575005
Year: 1966 | Value: 566908
Year: 1967 | Value: 569011
Year: 1968 | Value: 578170
Year: 1969 | Value: 581610
Year: 1970 | Value: 584403
Year: 1971 | Value: 586221
Year: 1972 | Value: 586620
Year: 1973 | Value: 592808
Year: 1974 | Value: 613338
Year: 1975 | Value: 650966
Year: 1976 | Value: 694191
Year: 1977 | Value: 741789
Year: 1978 | Value: 791694
Year: 1979 | Value: 819867
Year: 1980 | Value: 829303
Year: 1981 | Value: 842432
Year: 1982 | Value: 855891
Year: 1983 | Value: 869592
Year: 1984 | Value: 883519
Year: 1985 | Value: 897697
Year: 1986 | Value: 912126
Year: 1987 | Value: 926862
Year: 1988 | Value: 942061
Year: 1989 | Value: 957789
Year: 1990 | Value: 973669
Year: 1991 | Value: 994639
Year: 1992 | Value: 1024356
Year: 1993 | Value: 1058745
Year: 1994 | Value: 1092031
Year: 1995 | Value: 1119949
Year: 1996 | Value: 1143535
Year: 1997 | Value: 1165545
Year: 1998 | Value: 1187473
Year: 1999 | Value: 1210206
Year: 2000 | Value: 1234741
Year: 2001 | Value: 1261273
Year: 2002 | Value: 1289307
Year: 2003 | Value: 1318806
Year: 2004 | Value: 1349563
Year: 2005 | Value: 1381585
Year: 2006 | Value: 1415303
Year: 2007 | Value: 1450986
Year: 2008 | Value: 1488054
Year: 2009 | Value: 1526377
Year: 2010 | Value: 1566347
Year: 2011 | Value: 1608076
Year: 2012 | Value: 1651417
Year: 2013 | Value: 1695973
Year: 2014 | Value: 1741122
Year: 2015 | Value: 1786457
Year: 2016 | Value: 1831893
Year: 2017 | Value: 1877072
Year: 2018 | Value: 1922168
Year: 2019 | Value: 1967696
Year: 2020 | Value: 2013255
Year: 2021 | Value: 2058841
Year: 2022 | Value: 2105529
Year: 2023 | Value: 2153339
Year: 2024 | Value: 2201352
Remark: Guinea-Bissau
Remark: Population, total
