Entity: IDB / SP.POP.TOTL
Year: 1960 | Value: 124475467
Year: 1961 | Value: 127688784
Year: 1962 | Value: 131049320
Year: 1963 | Value: 134563454
Year: 1964 | Value: 138208407
Year: 1965 | Value: 141992226
Year: 1966 | Value: 145904459
Year: 1967 | Value: 149923848
Year: 1968 | Value: 154080039
Year: 1969 | Value: 158393968
Year: 1970 | Value: 162852517
Year: 1971 | Value: 167356115
Year: 1972 | Value: 172011394
Year: 1973 | Value: 176954946
Year: 1974 | Value: 182138604
Year: 1975 | Value: 187586058
Year: 1976 | Value: 193252681
Year: 1977 | Value: 199165729
Year: 1978 | Value: 205318127
Year: 1979 | Value: 211887858
Year: 1980 | Value: 219552133
Year: 1981 | Value: 227625217
Year: 1982 | Value: 235282858
Year: 1983 | Value: 242589635
Year: 1984 | Value: 249868265
Year: 1985 | Value: 257661913
Year: 1986 | Value: 265801351
Year: 1987 | Value: 274161638
Year: 1988 | Value: 282708012
Year: 1989 | Value: 291381564
Year: 1990 | Value: 300366368
Year: 1991 | Value: 309491517
Year: 1992 | Value: 318337815
Year: 1993 | Value: 327140314
Year: 1994 | Value: 336096421
Year: 1995 | Value: 345327214
Year: 1996 | Value: 354861820
Year: 1997 | Value: 364489851
Year: 1998 | Value: 374262946
Year: 1999 | Value: 384018319
Year: 2000 | Value: 394129957
Year: 2001 | Value: 404662385
Year: 2002 | Value: 414935066
Year: 2003 | Value: 425311302
Year: 2004 | Value: 436147454
Year: 2005 | Value: 447132945
Year: 2006 | Value: 458394453
Year: 2007 | Value: 470476526
Year: 2008 | Value: 482975881
Year: 2009 | Value: 495610570
Year: 2010 | Value: 508422508
Year: 2011 | Value: 520984443
Year: 2012 | Value: 532980174
Year: 2013 | Value: 544442648
Year: 2014 | Value: 555868551
Year: 2015 | Value: 567234056
Year: 2016 | Value: 578463670
Year: 2017 | Value: 590024074
Year: 2018 | Value: 601951913
Year: 2019 | Value: 614017319
Year: 2020 | Value: 626440308
Year: 2021 | Value: 639196319
Year: 2022 | Value: 651895919
Year: 2023 | Value: 664395892
Year: 2024 | Value: 676957651
Remark: IDA blend
Remark: Population, total
