Entity: ISL / SP.POP.TOTL
Year: 1960 | Value: 175574
Year: 1961 | Value: 179029
Year: 1962 | Value: 182378
Year: 1963 | Value: 185653
Year: 1964 | Value: 188983
Year: 1965 | Value: 192286
Year: 1966 | Value: 195570
Year: 1967 | Value: 198751
Year: 1968 | Value: 201488
Year: 1969 | Value: 203369
Year: 1970 | Value: 204438
Year: 1971 | Value: 206098
Year: 1972 | Value: 209137
Year: 1973 | Value: 212317
Year: 1974 | Value: 215209
Year: 1975 | Value: 217979
Year: 1976 | Value: 220154
Year: 1977 | Value: 221799
Year: 1978 | Value: 223537
Year: 1979 | Value: 225735
Year: 1980 | Value: 228138
Year: 1981 | Value: 230755
Year: 1982 | Value: 233860
Year: 1983 | Value: 236977
Year: 1984 | Value: 239511
Year: 1985 | Value: 241405
Year: 1986 | Value: 243180
Year: 1987 | Value: 245859
Year: 1988 | Value: 249740
Year: 1989 | Value: 252852
Year: 1990 | Value: 254826
Year: 1991 | Value: 257797
Year: 1992 | Value: 261057
Year: 1993 | Value: 263725
Year: 1994 | Value: 266021
Year: 1995 | Value: 267468
Year: 1996 | Value: 268916
Year: 1997 | Value: 271128
Year: 1998 | Value: 274047
Year: 1999 | Value: 277381
Year: 2000 | Value: 281205
Year: 2001 | Value: 284968
Year: 2002 | Value: 287523
Year: 2003 | Value: 289521
Year: 2004 | Value: 292074
Year: 2005 | Value: 296734
Year: 2006 | Value: 303782
Year: 2007 | Value: 311566
Year: 2008 | Value: 317414
Year: 2009 | Value: 318499
Year: 2010 | Value: 318041
Year: 2011 | Value: 319014
Year: 2012 | Value: 320716
Year: 2013 | Value: 323764
Year: 2014 | Value: 327386
Year: 2015 | Value: 330815
Year: 2016 | Value: 335439
Year: 2017 | Value: 343400
Year: 2018 | Value: 352721
Year: 2019 | Value: 360563
Year: 2020 | Value: 366463
Year: 2021 | Value: 372520
Year: 2022 | Value: 382003
Year: 2023 | Value: 385663
Year: 2024 | Value: 386506
Remark: Iceland
Remark: Population, total
