Entity: ITA / SP.POP.TOTL
Year: 1960 | Value: 50199700
Year: 1961 | Value: 50536350
Year: 1962 | Value: 50879450
Year: 1963 | Value: 51252000
Year: 1964 | Value: 51675350
Year: 1965 | Value: 52112350
Year: 1966 | Value: 52519000
Year: 1967 | Value: 52900500
Year: 1968 | Value: 53235750
Year: 1969 | Value: 53537950
Year: 1970 | Value: 53821850
Year: 1971 | Value: 54073490
Year: 1972 | Value: 54381345
Year: 1973 | Value: 54751406
Year: 1974 | Value: 55110868
Year: 1975 | Value: 55441001
Year: 1976 | Value: 55718260
Year: 1977 | Value: 55955411
Year: 1978 | Value: 56155143
Year: 1979 | Value: 56317749
Year: 1980 | Value: 56433883
Year: 1981 | Value: 56501675
Year: 1982 | Value: 56543548
Year: 1983 | Value: 56564074
Year: 1984 | Value: 56576718
Year: 1985 | Value: 56593071
Year: 1986 | Value: 56596155
Year: 1987 | Value: 56601931
Year: 1988 | Value: 56629288
Year: 1989 | Value: 56671781
Year: 1990 | Value: 56719240
Year: 1991 | Value: 56758521
Year: 1992 | Value: 56797087
Year: 1993 | Value: 56831821
Year: 1994 | Value: 56843400
Year: 1995 | Value: 56844303
Year: 1996 | Value: 56860281
Year: 1997 | Value: 56890372
Year: 1998 | Value: 56906744
Year: 1999 | Value: 56916317
Year: 2000 | Value: 56942108
Year: 2001 | Value: 56976981
Year: 2002 | Value: 57089824
Year: 2003 | Value: 57399184
Year: 2004 | Value: 57828179
Year: 2005 | Value: 58166682
Year: 2006 | Value: 58399861
Year: 2007 | Value: 58756247
Year: 2008 | Value: 59211181
Year: 2009 | Value: 59555454
Year: 2010 | Value: 59819407
Year: 2011 | Value: 60026841
Year: 2012 | Value: 60191247
Year: 2013 | Value: 60311613
Year: 2014 | Value: 60320707
Year: 2015 | Value: 60229605
Year: 2016 | Value: 60115223
Year: 2017 | Value: 60002252
Year: 2018 | Value: 60148658
Year: 2019 | Value: 59729081
Year: 2020 | Value: 59438851
Year: 2021 | Value: 59133173
Year: 2022 | Value: 59013667
Year: 2023 | Value: 58984216
Year: 2024 | Value: 58952704
Remark: Italy
Remark: Population, total
