Entity: LBY / SP.POP.TOTL
Year: 1960 | Value: 1492890
Year: 1961 | Value: 1555699
Year: 1962 | Value: 1621960
Year: 1963 | Value: 1690457
Year: 1964 | Value: 1753691
Year: 1965 | Value: 1804015
Year: 1966 | Value: 1849063
Year: 1967 | Value: 1898199
Year: 1968 | Value: 1952781
Year: 1969 | Value: 2014293
Year: 1970 | Value: 2082589
Year: 1971 | Value: 2153534
Year: 1972 | Value: 2226091
Year: 1973 | Value: 2314193
Year: 1974 | Value: 2432211
Year: 1975 | Value: 2571556
Year: 1976 | Value: 2721237
Year: 1977 | Value: 2881533
Year: 1978 | Value: 3052526
Year: 1979 | Value: 3233846
Year: 1980 | Value: 3424378
Year: 1981 | Value: 3621486
Year: 1982 | Value: 3724765
Year: 1983 | Value: 3718961
Year: 1984 | Value: 3773633
Year: 1985 | Value: 3898745
Year: 1986 | Value: 4017403
Year: 1987 | Value: 4129739
Year: 1988 | Value: 4237755
Year: 1989 | Value: 4342920
Year: 1990 | Value: 4445239
Year: 1991 | Value: 4544400
Year: 1992 | Value: 4640352
Year: 1993 | Value: 4733045
Year: 1994 | Value: 4822037
Year: 1995 | Value: 4906843
Year: 1996 | Value: 4987393
Year: 1997 | Value: 5064639
Year: 1998 | Value: 5140704
Year: 1999 | Value: 5218038
Year: 2000 | Value: 5305021
Year: 2001 | Value: 5403639
Year: 2002 | Value: 5508410
Year: 2003 | Value: 5619398
Year: 2004 | Value: 5736693
Year: 2005 | Value: 5858798
Year: 2006 | Value: 5980211
Year: 2007 | Value: 6104380
Year: 2008 | Value: 6235430
Year: 2009 | Value: 6366686
Year: 2010 | Value: 6497839
Year: 2011 | Value: 6343203
Year: 2012 | Value: 6179328
Year: 2013 | Value: 6304628
Year: 2014 | Value: 6427252
Year: 2015 | Value: 6531819
Year: 2016 | Value: 6632126
Year: 2017 | Value: 6738770
Year: 2018 | Value: 6849055
Year: 2019 | Value: 6951033
Year: 2020 | Value: 7045399
Year: 2021 | Value: 7135175
Year: 2022 | Value: 7223805
Year: 2023 | Value: 7305659
Year: 2024 | Value: 7381023
Remark: Libya
Remark: Population, total
