Entity: LDC / SP.POP.TOTL
Year: 1960 | Value: 245048596
Year: 1961 | Value: 250984924
Year: 1962 | Value: 257173413
Year: 1963 | Value: 263557766
Year: 1964 | Value: 270194662
Year: 1965 | Value: 277101968
Year: 1966 | Value: 284221585
Year: 1967 | Value: 291642814
Year: 1968 | Value: 299374569
Year: 1969 | Value: 307260565
Year: 1970 | Value: 315102512
Year: 1971 | Value: 322517398
Year: 1972 | Value: 330244369
Year: 1973 | Value: 339000836
Year: 1974 | Value: 348044659
Year: 1975 | Value: 356845675
Year: 1976 | Value: 365558134
Year: 1977 | Value: 374293198
Year: 1978 | Value: 383667234
Year: 1979 | Value: 393715341
Year: 1980 | Value: 403007563
Year: 1981 | Value: 412046787
Year: 1982 | Value: 422560922
Year: 1983 | Value: 434142125
Year: 1984 | Value: 445947594
Year: 1985 | Value: 457866946
Year: 1986 | Value: 469843634
Year: 1987 | Value: 482075790
Year: 1988 | Value: 494400159
Year: 1989 | Value: 506991476
Year: 1990 | Value: 519693837
Year: 1991 | Value: 532595517
Year: 1992 | Value: 546905231
Year: 1993 | Value: 562489881
Year: 1994 | Value: 578028937
Year: 1995 | Value: 593609643
Year: 1996 | Value: 609407699
Year: 1997 | Value: 625267815
Year: 1998 | Value: 641401023
Year: 1999 | Value: 657616923
Year: 2000 | Value: 673630102
Year: 2001 | Value: 689878805
Year: 2002 | Value: 707266809
Year: 2003 | Value: 725111768
Year: 2004 | Value: 742717957
Year: 2005 | Value: 760741611
Year: 2006 | Value: 779230030
Year: 2007 | Value: 797516000
Year: 2008 | Value: 816268129
Year: 2009 | Value: 835687108
Year: 2010 | Value: 855348118
Year: 2011 | Value: 875685078
Year: 2012 | Value: 896684951
Year: 2013 | Value: 918269633
Year: 2014 | Value: 940284138
Year: 2015 | Value: 962508256
Year: 2016 | Value: 985414939
Year: 2017 | Value: 1008993468
Year: 2018 | Value: 1033110314
Year: 2019 | Value: 1058013514
Year: 2020 | Value: 1083636132
Year: 2021 | Value: 1109175268
Year: 2022 | Value: 1134585604
Year: 2023 | Value: 1160824674
Year: 2024 | Value: 1187777591
Remark: Least developed countries: UN classification
Remark: Population, total
