Entity: MEX / SP.POP.TOTL
Year: 1960 | Value: 36724615
Year: 1961 | Value: 37890118
Year: 1962 | Value: 39129200
Year: 1963 | Value: 40424065
Year: 1964 | Value: 41772049
Year: 1965 | Value: 43174477
Year: 1966 | Value: 44629106
Year: 1967 | Value: 46129608
Year: 1968 | Value: 47668303
Year: 1969 | Value: 49233194
Year: 1970 | Value: 50814953
Year: 1971 | Value: 52412558
Year: 1972 | Value: 54030168
Year: 1973 | Value: 55667284
Year: 1974 | Value: 57320149
Year: 1975 | Value: 58982400
Year: 1976 | Value: 60645512
Year: 1977 | Value: 62308493
Year: 1978 | Value: 63979046
Year: 1979 | Value: 65648865
Year: 1980 | Value: 67300334
Year: 1981 | Value: 68892108
Year: 1982 | Value: 70433260
Year: 1983 | Value: 71971240
Year: 1984 | Value: 73506846
Year: 1985 | Value: 75043414
Year: 1986 | Value: 76585637
Year: 1987 | Value: 78136651
Year: 1988 | Value: 79695531
Year: 1989 | Value: 81247182
Year: 1990 | Value: 82820170
Year: 1991 | Value: 84430572
Year: 1992 | Value: 86044809
Year: 1993 | Value: 87653807
Year: 1994 | Value: 89259205
Year: 1995 | Value: 90862455
Year: 1996 | Value: 92452702
Year: 1997 | Value: 94021207
Year: 1998 | Value: 95575245
Year: 1999 | Value: 97115707
Year: 2000 | Value: 98625552
Year: 2001 | Value: 100099099
Year: 2002 | Value: 101548624
Year: 2003 | Value: 102978515
Year: 2004 | Value: 104394131
Year: 2005 | Value: 105811504
Year: 2006 | Value: 107253666
Year: 2007 | Value: 108774360
Year: 2008 | Value: 110374288
Year: 2009 | Value: 111999721
Year: 2010 | Value: 113623895
Year: 2011 | Value: 115243504
Year: 2012 | Value: 116818208
Year: 2013 | Value: 118343573
Year: 2014 | Value: 119784261
Year: 2015 | Value: 121072306
Year: 2016 | Value: 122251351
Year: 2017 | Value: 123400057
Year: 2018 | Value: 124573711
Year: 2019 | Value: 125762982
Year: 2020 | Value: 126799054
Year: 2021 | Value: 127648148
Year: 2022 | Value: 128613117
Year: 2023 | Value: 129739759
Year: 2024 | Value: 130861007
Remark: Mexico
Remark: Population, total
