Entity: MMR / SP.POP.TOTL
Year: 1960 | Value: 21730250
Year: 1961 | Value: 22210581
Year: 1962 | Value: 22704719
Year: 1963 | Value: 23213408
Year: 1964 | Value: 23737315
Year: 1965 | Value: 24279431
Year: 1966 | Value: 24836496
Year: 1967 | Value: 25406429
Year: 1968 | Value: 25989662
Year: 1969 | Value: 26585112
Year: 1970 | Value: 27193016
Year: 1971 | Value: 27807219
Year: 1972 | Value: 28428324
Year: 1973 | Value: 29026388
Year: 1974 | Value: 29598167
Year: 1975 | Value: 30176565
Year: 1976 | Value: 30758811
Year: 1977 | Value: 31355966
Year: 1978 | Value: 31972976
Year: 1979 | Value: 32596550
Year: 1980 | Value: 33227204
Year: 1981 | Value: 33858783
Year: 1982 | Value: 34482965
Year: 1983 | Value: 35162715
Year: 1984 | Value: 35899313
Year: 1985 | Value: 36622827
Year: 1986 | Value: 37314878
Year: 1987 | Value: 37971594
Year: 1988 | Value: 38600927
Year: 1989 | Value: 39214618
Year: 1990 | Value: 39817251
Year: 1991 | Value: 40394154
Year: 1992 | Value: 40950342
Year: 1993 | Value: 41502429
Year: 1994 | Value: 42055143
Year: 1995 | Value: 42605338
Year: 1996 | Value: 43154860
Year: 1997 | Value: 43708798
Year: 1998 | Value: 44257793
Year: 1999 | Value: 44787724
Year: 2000 | Value: 45290841
Year: 2001 | Value: 45771139
Year: 2002 | Value: 46232653
Year: 2003 | Value: 46667192
Year: 2004 | Value: 47068772
Year: 2005 | Value: 47438365
Year: 2006 | Value: 47785135
Year: 2007 | Value: 48125043
Year: 2008 | Value: 48390793
Year: 2009 | Value: 48660459
Year: 2010 | Value: 49024382
Year: 2011 | Value: 49419820
Year: 2012 | Value: 49837446
Year: 2013 | Value: 50262658
Year: 2014 | Value: 50681634
Year: 2015 | Value: 51089056
Year: 2016 | Value: 51495696
Year: 2017 | Value: 51894938
Year: 2018 | Value: 52272247
Year: 2019 | Value: 52640713
Year: 2020 | Value: 53016522
Year: 2021 | Value: 53387102
Year: 2022 | Value: 53756787
Year: 2023 | Value: 54133798
Year: 2024 | Value: 54500091
Remark: Myanmar
Remark: Population, total
