Entity: MYS / SP.POP.TOTL
Year: 1960 | Value: 7956197
Year: 1961 | Value: 8164443
Year: 1962 | Value: 8380172
Year: 1963 | Value: 8602160
Year: 1964 | Value: 8828406
Year: 1965 | Value: 9056408
Year: 1966 | Value: 9284688
Year: 1967 | Value: 9507099
Year: 1968 | Value: 9725281
Year: 1969 | Value: 9947597
Year: 1970 | Value: 10178802
Year: 1971 | Value: 10423453
Year: 1972 | Value: 10676835
Year: 1973 | Value: 10935621
Year: 1974 | Value: 11200906
Year: 1975 | Value: 11471914
Year: 1976 | Value: 11750097
Year: 1977 | Value: 12035713
Year: 1978 | Value: 12328157
Year: 1979 | Value: 12627862
Year: 1980 | Value: 12983363
Year: 1981 | Value: 13399203
Year: 1982 | Value: 13832798
Year: 1983 | Value: 14285907
Year: 1984 | Value: 14759009
Year: 1985 | Value: 15252258
Year: 1986 | Value: 15760419
Year: 1987 | Value: 16276737
Year: 1988 | Value: 16796605
Year: 1989 | Value: 17314997
Year: 1990 | Value: 17833171
Year: 1991 | Value: 18342464
Year: 1992 | Value: 18834572
Year: 1993 | Value: 19322664
Year: 1994 | Value: 19820446
Year: 1995 | Value: 20330599
Year: 1996 | Value: 20850087
Year: 1997 | Value: 21375218
Year: 1998 | Value: 21906713
Year: 1999 | Value: 22435531
Year: 2000 | Value: 22967816
Year: 2001 | Value: 23526538
Year: 2002 | Value: 24102477
Year: 2003 | Value: 24679602
Year: 2004 | Value: 25256772
Year: 2005 | Value: 25836071
Year: 2006 | Value: 26417909
Year: 2007 | Value: 26998389
Year: 2008 | Value: 27570059
Year: 2009 | Value: 28124778
Year: 2010 | Value: 28655776
Year: 2011 | Value: 29162039
Year: 2012 | Value: 29662831
Year: 2013 | Value: 30174265
Year: 2014 | Value: 30696137
Year: 2015 | Value: 31232798
Year: 2016 | Value: 31789685
Year: 2017 | Value: 32355644
Year: 2018 | Value: 32910967
Year: 2019 | Value: 33440596
Year: 2020 | Value: 33889558
Year: 2021 | Value: 34282399
Year: 2022 | Value: 34695493
Year: 2023 | Value: 35126298
Year: 2024 | Value: 35557673
Remark: Malaysia
Remark: Population, total
