Entity: NPL / SP.POP.TOTL
Year: 1960 | Value: 10123658
Year: 1961 | Value: 10318396
Year: 1962 | Value: 10521116
Year: 1963 | Value: 10729818
Year: 1964 | Value: 10946392
Year: 1965 | Value: 11173411
Year: 1966 | Value: 11408710
Year: 1967 | Value: 11652716
Year: 1968 | Value: 11906266
Year: 1969 | Value: 12167036
Year: 1970 | Value: 12436190
Year: 1971 | Value: 12710061
Year: 1972 | Value: 12989099
Year: 1973 | Value: 13275239
Year: 1974 | Value: 13568435
Year: 1975 | Value: 13870695
Year: 1976 | Value: 14177649
Year: 1977 | Value: 14499175
Year: 1978 | Value: 14839695
Year: 1979 | Value: 15190590
Year: 1980 | Value: 15553105
Year: 1981 | Value: 15922423
Year: 1982 | Value: 16297987
Year: 1983 | Value: 16689119
Year: 1984 | Value: 17085242
Year: 1985 | Value: 17477692
Year: 1986 | Value: 17868124
Year: 1987 | Value: 18250505
Year: 1988 | Value: 18638661
Year: 1989 | Value: 19057807
Year: 1990 | Value: 19524573
Year: 1991 | Value: 20036500
Year: 1992 | Value: 20609707
Year: 1993 | Value: 21180159
Year: 1994 | Value: 21717479
Year: 1995 | Value: 22245439
Year: 1996 | Value: 22741862
Year: 1997 | Value: 23219463
Year: 1998 | Value: 23680357
Year: 1999 | Value: 24125199
Year: 2000 | Value: 24546509
Year: 2001 | Value: 24946748
Year: 2002 | Value: 25328981
Year: 2003 | Value: 25688758
Year: 2004 | Value: 26016656
Year: 2005 | Value: 26309458
Year: 2006 | Value: 26565425
Year: 2007 | Value: 26788492
Year: 2008 | Value: 26990037
Year: 2009 | Value: 27173035
Year: 2010 | Value: 27341952
Year: 2011 | Value: 27464494
Year: 2012 | Value: 27534915
Year: 2013 | Value: 27589996
Year: 2014 | Value: 27672370
Year: 2015 | Value: 27823629
Year: 2016 | Value: 27955462
Year: 2017 | Value: 28011258
Year: 2018 | Value: 28079689
Year: 2019 | Value: 28414064
Year: 2020 | Value: 28966574
Year: 2021 | Value: 29475010
Year: 2022 | Value: 29715436
Year: 2023 | Value: 29694614
Year: 2024 | Value: 29651054
Remark: Nepal
Remark: Population, total
