Entity: NZL / SP.POP.TOTL
Year: 1960 | Value: 2371800
Year: 1961 | Value: 2419700
Year: 1962 | Value: 2482000
Year: 1963 | Value: 2531800
Year: 1964 | Value: 2585400
Year: 1965 | Value: 2628400
Year: 1966 | Value: 2675900
Year: 1967 | Value: 2724100
Year: 1968 | Value: 2748100
Year: 1969 | Value: 2772800
Year: 1970 | Value: 2810700
Year: 1971 | Value: 2853000
Year: 1972 | Value: 2903900
Year: 1973 | Value: 2961300
Year: 1974 | Value: 3023700
Year: 1975 | Value: 3083100
Year: 1976 | Value: 3110500
Year: 1977 | Value: 3120200
Year: 1978 | Value: 3121200
Year: 1979 | Value: 3109000
Year: 1980 | Value: 3112900
Year: 1981 | Value: 3124900
Year: 1982 | Value: 3156100
Year: 1983 | Value: 3199300
Year: 1984 | Value: 3227100
Year: 1985 | Value: 3247100
Year: 1986 | Value: 3246300
Year: 1987 | Value: 3274400
Year: 1988 | Value: 3283400
Year: 1989 | Value: 3299200
Year: 1990 | Value: 3329800
Year: 1991 | Value: 3495100
Year: 1992 | Value: 3531700
Year: 1993 | Value: 3572200
Year: 1994 | Value: 3620000
Year: 1995 | Value: 3673400
Year: 1996 | Value: 3732000
Year: 1997 | Value: 3781300
Year: 1998 | Value: 3815000
Year: 1999 | Value: 3835100
Year: 2000 | Value: 3857700
Year: 2001 | Value: 3880500
Year: 2002 | Value: 3948500
Year: 2003 | Value: 4027200
Year: 2004 | Value: 4087500
Year: 2005 | Value: 4133900
Year: 2006 | Value: 4184600
Year: 2007 | Value: 4223800
Year: 2008 | Value: 4259800
Year: 2009 | Value: 4302600
Year: 2010 | Value: 4350700
Year: 2011 | Value: 4384000
Year: 2012 | Value: 4408100
Year: 2013 | Value: 4442100
Year: 2014 | Value: 4516500
Year: 2015 | Value: 4609400
Year: 2016 | Value: 4714100
Year: 2017 | Value: 4813600
Year: 2018 | Value: 4900600
Year: 2019 | Value: 4970300
Year: 2020 | Value: 5072400
Year: 2021 | Value: 5084600
Year: 2022 | Value: 5081700
Year: 2023 | Value: 5200000
Year: 2024 | Value: 5287500
Remark: New Zealand
Remark: Population, total
