Entity: PHL / SP.POP.TOTL
Year: 1960 | Value: 27891897
Year: 1961 | Value: 28792621
Year: 1962 | Value: 29723536
Year: 1963 | Value: 30674731
Year: 1964 | Value: 31643032
Year: 1965 | Value: 32625316
Year: 1966 | Value: 33617170
Year: 1967 | Value: 34621320
Year: 1968 | Value: 35638342
Year: 1969 | Value: 36660799
Year: 1970 | Value: 37622204
Year: 1971 | Value: 38518659
Year: 1972 | Value: 39408560
Year: 1973 | Value: 40294130
Year: 1974 | Value: 41174341
Year: 1975 | Value: 42120826
Year: 1976 | Value: 43201488
Year: 1977 | Value: 44367962
Year: 1978 | Value: 45575281
Year: 1979 | Value: 46807103
Year: 1980 | Value: 48043740
Year: 1981 | Value: 49311727
Year: 1982 | Value: 50695707
Year: 1983 | Value: 52194620
Year: 1984 | Value: 53726181
Year: 1985 | Value: 55213006
Year: 1986 | Value: 56645077
Year: 1987 | Value: 58157496
Year: 1988 | Value: 59739052
Year: 1989 | Value: 61265260
Year: 1990 | Value: 62854666
Year: 1991 | Value: 64382249
Year: 1992 | Value: 65926125
Year: 1993 | Value: 67530621
Year: 1994 | Value: 69019291
Year: 1995 | Value: 70546246
Year: 1996 | Value: 72190242
Year: 1997 | Value: 73908810
Year: 1998 | Value: 75791024
Year: 1999 | Value: 77753257
Year: 2000 | Value: 79625397
Year: 2001 | Value: 81401488
Year: 2002 | Value: 83068889
Year: 2003 | Value: 84731835
Year: 2004 | Value: 86394504
Year: 2005 | Value: 88015962
Year: 2006 | Value: 89508986
Year: 2007 | Value: 91075184
Year: 2008 | Value: 92699095
Year: 2009 | Value: 94384250
Year: 2010 | Value: 96337125
Year: 2011 | Value: 98248614
Year: 2012 | Value: 100175512
Year: 2013 | Value: 102076336
Year: 2014 | Value: 103767130
Year: 2015 | Value: 105312992
Year: 2016 | Value: 106735719
Year: 2017 | Value: 108119693
Year: 2018 | Value: 109465287
Year: 2019 | Value: 110804683
Year: 2020 | Value: 112081264
Year: 2021 | Value: 113100950
Year: 2022 | Value: 113964338
Year: 2023 | Value: 114891199
Year: 2024 | Value: 115843670
Remark: Philippines
Remark: Population, total
