Entity: PNG / SP.POP.TOTL
Year: 1960 | Value: 1995110
Year: 1961 | Value: 2046127
Year: 1962 | Value: 2093919
Year: 1963 | Value: 2141376
Year: 1964 | Value: 2188325
Year: 1965 | Value: 2235820
Year: 1966 | Value: 2285774
Year: 1967 | Value: 2337532
Year: 1968 | Value: 2390803
Year: 1969 | Value: 2446927
Year: 1970 | Value: 2505628
Year: 1971 | Value: 2566421
Year: 1972 | Value: 2628432
Year: 1973 | Value: 2690629
Year: 1974 | Value: 2752671
Year: 1975 | Value: 2814820
Year: 1976 | Value: 2877327
Year: 1977 | Value: 2940327
Year: 1978 | Value: 3003714
Year: 1979 | Value: 3067341
Year: 1980 | Value: 3131512
Year: 1981 | Value: 3197019
Year: 1982 | Value: 3264291
Year: 1983 | Value: 3333633
Year: 1984 | Value: 3405198
Year: 1985 | Value: 3478936
Year: 1986 | Value: 3554793
Year: 1987 | Value: 3632543
Year: 1988 | Value: 3711880
Year: 1989 | Value: 3796078
Year: 1990 | Value: 3896481
Year: 1991 | Value: 4021837
Year: 1992 | Value: 4166699
Year: 1993 | Value: 4320872
Year: 1994 | Value: 4480208
Year: 1995 | Value: 4644278
Year: 1996 | Value: 4813361
Year: 1997 | Value: 4987883
Year: 1998 | Value: 5166390
Year: 1999 | Value: 5349333
Year: 2000 | Value: 5537064
Year: 2001 | Value: 5728435
Year: 2002 | Value: 5924003
Year: 2003 | Value: 6123997
Year: 2004 | Value: 6328041
Year: 2005 | Value: 6535905
Year: 2006 | Value: 6747720
Year: 2007 | Value: 6963345
Year: 2008 | Value: 7183002
Year: 2009 | Value: 7406438
Year: 2010 | Value: 7633523
Year: 2011 | Value: 7859346
Year: 2012 | Value: 8081390
Year: 2013 | Value: 8302698
Year: 2014 | Value: 8523441
Year: 2015 | Value: 8743246
Year: 2016 | Value: 8961718
Year: 2017 | Value: 9178714
Year: 2018 | Value: 9394513
Year: 2019 | Value: 9609010
Year: 2020 | Value: 9815746
Year: 2021 | Value: 10012896
Year: 2022 | Value: 10203169
Year: 2023 | Value: 10389635
Year: 2024 | Value: 10576502
Remark: Papua New Guinea
Remark: Population, total
