Entity: ROU / SP.POP.TOTL
Year: 1960 | Value: 18406905
Year: 1961 | Value: 18555250
Year: 1962 | Value: 18676550
Year: 1963 | Value: 18797850
Year: 1964 | Value: 18919126
Year: 1965 | Value: 19031576
Year: 1966 | Value: 19215450
Year: 1967 | Value: 19534242
Year: 1968 | Value: 19799831
Year: 1969 | Value: 20009141
Year: 1970 | Value: 20250398
Year: 1971 | Value: 20461567
Year: 1972 | Value: 20657957
Year: 1973 | Value: 20835681
Year: 1974 | Value: 21029429
Year: 1975 | Value: 21293583
Year: 1976 | Value: 21551634
Year: 1977 | Value: 21756096
Year: 1978 | Value: 21951464
Year: 1979 | Value: 22090488
Year: 1980 | Value: 22207282
Year: 1981 | Value: 22353070
Year: 1982 | Value: 22475741
Year: 1983 | Value: 22560478
Year: 1984 | Value: 22640547
Year: 1985 | Value: 22732999
Year: 1986 | Value: 22836841
Year: 1987 | Value: 22949430
Year: 1988 | Value: 23057662
Year: 1989 | Value: 23161458
Year: 1990 | Value: 23201835
Year: 1991 | Value: 23001155
Year: 1992 | Value: 22794284
Year: 1993 | Value: 22763280
Year: 1994 | Value: 22730211
Year: 1995 | Value: 22684270
Year: 1996 | Value: 22619004
Year: 1997 | Value: 22553978
Year: 1998 | Value: 22507344
Year: 1999 | Value: 22472040
Year: 2000 | Value: 22442971
Year: 2001 | Value: 22131970
Year: 2002 | Value: 21730496
Year: 2003 | Value: 21574326
Year: 2004 | Value: 21451748
Year: 2005 | Value: 21319685
Year: 2006 | Value: 21193760
Year: 2007 | Value: 20882982
Year: 2008 | Value: 20537875
Year: 2009 | Value: 20367487
Year: 2010 | Value: 20246871
Year: 2011 | Value: 20147528
Year: 2012 | Value: 20058035
Year: 2013 | Value: 19983693
Year: 2014 | Value: 19908979
Year: 2015 | Value: 19815616
Year: 2016 | Value: 19702267
Year: 2017 | Value: 19588715
Year: 2018 | Value: 19473970
Year: 2019 | Value: 19371648
Year: 2020 | Value: 19265250
Year: 2021 | Value: 19122059
Year: 2022 | Value: 19048502
Year: 2023 | Value: 19061062
Year: 2024 | Value: 19051804
Remark: Romania
Remark: Population, total
