Entity: SDN / SP.POP.TOTL
Year: 1960 | Value: 8364489
Year: 1961 | Value: 8634941
Year: 1962 | Value: 8919028
Year: 1963 | Value: 9218077
Year: 1964 | Value: 9531109
Year: 1965 | Value: 9858030
Year: 1966 | Value: 10197578
Year: 1967 | Value: 10550597
Year: 1968 | Value: 10917999
Year: 1969 | Value: 11298936
Year: 1970 | Value: 11695771
Year: 1971 | Value: 12105539
Year: 1972 | Value: 12527856
Year: 1973 | Value: 13049315
Year: 1974 | Value: 13580723
Year: 1975 | Value: 14064798
Year: 1976 | Value: 14569716
Year: 1977 | Value: 15086614
Year: 1978 | Value: 15695003
Year: 1979 | Value: 16355352
Year: 1980 | Value: 17058905
Year: 1981 | Value: 17780572
Year: 1982 | Value: 18486645
Year: 1983 | Value: 19109770
Year: 1984 | Value: 19546528
Year: 1985 | Value: 19905872
Year: 1986 | Value: 20288238
Year: 1987 | Value: 20704904
Year: 1988 | Value: 21138431
Year: 1989 | Value: 21578022
Year: 1990 | Value: 22021481
Year: 1991 | Value: 22470676
Year: 1992 | Value: 22927355
Year: 1993 | Value: 23445592
Year: 1994 | Value: 24043948
Year: 1995 | Value: 24672143
Year: 1996 | Value: 25231528
Year: 1997 | Value: 25799821
Year: 1998 | Value: 26458999
Year: 1999 | Value: 27130613
Year: 2000 | Value: 27816745
Year: 2001 | Value: 28516770
Year: 2002 | Value: 29228727
Year: 2003 | Value: 29896035
Year: 2004 | Value: 30556637
Year: 2005 | Value: 31262444
Year: 2006 | Value: 31992435
Year: 2007 | Value: 32764135
Year: 2008 | Value: 33623980
Year: 2009 | Value: 34569113
Year: 2010 | Value: 35414399
Year: 2011 | Value: 36140806
Year: 2012 | Value: 36923178
Year: 2013 | Value: 37785849
Year: 2014 | Value: 38823318
Year: 2015 | Value: 40024431
Year: 2016 | Value: 41259892
Year: 2017 | Value: 42714306
Year: 2018 | Value: 44230596
Year: 2019 | Value: 45548175
Year: 2020 | Value: 46789231
Year: 2021 | Value: 48066924
Year: 2022 | Value: 49383346
Year: 2023 | Value: 50042791
Year: 2024 | Value: 50448963
Remark: Sudan
Remark: Population, total
