Entity: SVK / SP.POP.TOTL
Year: 1960 | Value: 4068095
Year: 1961 | Value: 4191667
Year: 1962 | Value: 4238188
Year: 1963 | Value: 4282017
Year: 1964 | Value: 4327341
Year: 1965 | Value: 4370983
Year: 1966 | Value: 4411666
Year: 1967 | Value: 4449367
Year: 1968 | Value: 4483915
Year: 1969 | Value: 4518607
Year: 1970 | Value: 4538223
Year: 1971 | Value: 4557449
Year: 1972 | Value: 4596622
Year: 1973 | Value: 4641445
Year: 1974 | Value: 4689623
Year: 1975 | Value: 4739105
Year: 1976 | Value: 4789507
Year: 1977 | Value: 4840501
Year: 1978 | Value: 4890125
Year: 1979 | Value: 4938973
Year: 1980 | Value: 4979815
Year: 1981 | Value: 5016105
Year: 1982 | Value: 5055099
Year: 1983 | Value: 5091971
Year: 1984 | Value: 5127097
Year: 1985 | Value: 5161768
Year: 1986 | Value: 5193838
Year: 1987 | Value: 5222840
Year: 1988 | Value: 5250596
Year: 1989 | Value: 5275942
Year: 1990 | Value: 5299187
Year: 1991 | Value: 5303294
Year: 1992 | Value: 5305016
Year: 1993 | Value: 5325305
Year: 1994 | Value: 5346331
Year: 1995 | Value: 5361999
Year: 1996 | Value: 5373361
Year: 1997 | Value: 5383291
Year: 1998 | Value: 5390516
Year: 1999 | Value: 5396020
Year: 2000 | Value: 5388720
Year: 2001 | Value: 5378867
Year: 2002 | Value: 5376912
Year: 2003 | Value: 5373374
Year: 2004 | Value: 5372280
Year: 2005 | Value: 5372807
Year: 2006 | Value: 5373054
Year: 2007 | Value: 5374622
Year: 2008 | Value: 5379233
Year: 2009 | Value: 5386406
Year: 2010 | Value: 5391428
Year: 2011 | Value: 5398384
Year: 2012 | Value: 5407579
Year: 2013 | Value: 5413393
Year: 2014 | Value: 5418649
Year: 2015 | Value: 5423801
Year: 2016 | Value: 5430798
Year: 2017 | Value: 5439232
Year: 2018 | Value: 5446771
Year: 2019 | Value: 5454147
Year: 2020 | Value: 5458827
Year: 2021 | Value: 5447247
Year: 2022 | Value: 5431752
Year: 2023 | Value: 5426740
Year: 2024 | Value: 5422069
Remark: Slovak Republic
Remark: Population, total
