Entity: TGO / SP.POP.TOTL
Year: 1960 | Value: 1673110
Year: 1961 | Value: 1702717
Year: 1962 | Value: 1732959
Year: 1963 | Value: 1765072
Year: 1964 | Value: 1803440
Year: 1965 | Value: 1853771
Year: 1966 | Value: 1918513
Year: 1967 | Value: 1995890
Year: 1968 | Value: 2080226
Year: 1969 | Value: 2164814
Year: 1970 | Value: 2244773
Year: 1971 | Value: 2317976
Year: 1972 | Value: 2384994
Year: 1973 | Value: 2448749
Year: 1974 | Value: 2511760
Year: 1975 | Value: 2574622
Year: 1976 | Value: 2637796
Year: 1977 | Value: 2701894
Year: 1978 | Value: 2768148
Year: 1979 | Value: 2839854
Year: 1980 | Value: 2920894
Year: 1981 | Value: 3013043
Year: 1982 | Value: 3115042
Year: 1983 | Value: 3222899
Year: 1984 | Value: 3332837
Year: 1985 | Value: 3441091
Year: 1986 | Value: 3547952
Year: 1987 | Value: 3657508
Year: 1988 | Value: 3769742
Year: 1989 | Value: 3883411
Year: 1990 | Value: 3998761
Year: 1991 | Value: 4115560
Year: 1992 | Value: 4233617
Year: 1993 | Value: 4207453
Year: 1994 | Value: 4222940
Year: 1995 | Value: 4410832
Year: 1996 | Value: 4577860
Year: 1997 | Value: 4725030
Year: 1998 | Value: 4860913
Year: 1999 | Value: 5000269
Year: 2000 | Value: 5140037
Year: 2001 | Value: 5277382
Year: 2002 | Value: 5413274
Year: 2003 | Value: 5552167
Year: 2004 | Value: 5696508
Year: 2005 | Value: 5844631
Year: 2006 | Value: 6010668
Year: 2007 | Value: 6188344
Year: 2008 | Value: 6368812
Year: 2009 | Value: 6551865
Year: 2010 | Value: 6732590
Year: 2011 | Value: 6916474
Year: 2012 | Value: 7100736
Year: 2013 | Value: 7285442
Year: 2014 | Value: 7472450
Year: 2015 | Value: 7663195
Year: 2016 | Value: 7858289
Year: 2017 | Value: 8057140
Year: 2018 | Value: 8258778
Year: 2019 | Value: 8463068
Year: 2020 | Value: 8669720
Year: 2021 | Value: 8878379
Year: 2022 | Value: 9089738
Year: 2023 | Value: 9304337
Year: 2024 | Value: 9515236
Remark: Togo
Remark: Population, total
