Entity: URY / SP.POP.TOTL
Year: 1960 | Value: 2529957
Year: 1961 | Value: 2562044
Year: 1962 | Value: 2593298
Year: 1963 | Value: 2623766
Year: 1964 | Value: 2653180
Year: 1965 | Value: 2681169
Year: 1966 | Value: 2707646
Year: 1967 | Value: 2732277
Year: 1968 | Value: 2754606
Year: 1969 | Value: 2773974
Year: 1970 | Value: 2790807
Year: 1971 | Value: 2806462
Year: 1972 | Value: 2821644
Year: 1973 | Value: 2837133
Year: 1974 | Value: 2853944
Year: 1975 | Value: 2872320
Year: 1976 | Value: 2891392
Year: 1977 | Value: 2909461
Year: 1978 | Value: 2925715
Year: 1979 | Value: 2939903
Year: 1980 | Value: 2951953
Year: 1981 | Value: 2963246
Year: 1982 | Value: 2975492
Year: 1983 | Value: 2988778
Year: 1984 | Value: 3002488
Year: 1985 | Value: 3017037
Year: 1986 | Value: 3032845
Year: 1987 | Value: 3049896
Year: 1988 | Value: 3067961
Year: 1989 | Value: 3086255
Year: 1990 | Value: 3104403
Year: 1991 | Value: 3122354
Year: 1992 | Value: 3139702
Year: 1993 | Value: 3156345
Year: 1994 | Value: 3172834
Year: 1995 | Value: 3189440
Year: 1996 | Value: 3206324
Year: 1997 | Value: 3223345
Year: 1998 | Value: 3239280
Year: 1999 | Value: 3254015
Year: 2000 | Value: 3266206
Year: 2001 | Value: 3274251
Year: 2002 | Value: 3278867
Year: 2003 | Value: 3281186
Year: 2004 | Value: 3283148
Year: 2005 | Value: 3285771
Year: 2006 | Value: 3289506
Year: 2007 | Value: 3295153
Year: 2008 | Value: 3302177
Year: 2009 | Value: 3310091
Year: 2010 | Value: 3318580
Year: 2011 | Value: 3326825
Year: 2012 | Value: 3335401
Year: 2013 | Value: 3345337
Year: 2014 | Value: 3356334
Year: 2015 | Value: 3368017
Year: 2016 | Value: 3379283
Year: 2017 | Value: 3388438
Year: 2018 | Value: 3394534
Year: 2019 | Value: 3397206
Year: 2020 | Value: 3398968
Year: 2021 | Value: 3396695
Year: 2022 | Value: 3390913
Year: 2023 | Value: 3388081
Year: 2024 | Value: 3386588
Remark: Uruguay
Remark: Population, total
