Entity: VCT / SP.POP.TOTL
Year: 1960 | Value: 84388
Year: 1961 | Value: 85870
Year: 1962 | Value: 87236
Year: 1963 | Value: 88523
Year: 1964 | Value: 89749
Year: 1965 | Value: 90927
Year: 1966 | Value: 92052
Year: 1967 | Value: 93124
Year: 1968 | Value: 94123
Year: 1969 | Value: 95058
Year: 1970 | Value: 95964
Year: 1971 | Value: 96872
Year: 1972 | Value: 97790
Year: 1973 | Value: 98691
Year: 1974 | Value: 99556
Year: 1975 | Value: 100387
Year: 1976 | Value: 101197
Year: 1977 | Value: 101999
Year: 1978 | Value: 102775
Year: 1979 | Value: 103478
Year: 1980 | Value: 104213
Year: 1981 | Value: 105073
Year: 1982 | Value: 105969
Year: 1983 | Value: 106838
Year: 1984 | Value: 107687
Year: 1985 | Value: 108506
Year: 1986 | Value: 109281
Year: 1987 | Value: 110001
Year: 1988 | Value: 110658
Year: 1989 | Value: 111272
Year: 1990 | Value: 111812
Year: 1991 | Value: 112222
Year: 1992 | Value: 112509
Year: 1993 | Value: 112735
Year: 1994 | Value: 112918
Year: 1995 | Value: 113047
Year: 1996 | Value: 113119
Year: 1997 | Value: 113141
Year: 1998 | Value: 113180
Year: 1999 | Value: 113366
Year: 2000 | Value: 113545
Year: 2001 | Value: 113501
Year: 2002 | Value: 113347
Year: 2003 | Value: 113141
Year: 2004 | Value: 112835
Year: 2005 | Value: 112450
Year: 2006 | Value: 112014
Year: 2007 | Value: 111531
Year: 2008 | Value: 111028
Year: 2009 | Value: 110508
Year: 2010 | Value: 109959
Year: 2011 | Value: 109349
Year: 2012 | Value: 108736
Year: 2013 | Value: 108135
Year: 2014 | Value: 107535
Year: 2015 | Value: 106960
Year: 2016 | Value: 106349
Year: 2017 | Value: 105663
Year: 2018 | Value: 104926
Year: 2019 | Value: 104167
Year: 2020 | Value: 103526
Year: 2021 | Value: 102841
Year: 2022 | Value: 102046
Year: 2023 | Value: 101323
Year: 2024 | Value: 100616
Remark: St. Vincent and the Grenadines
Remark: Population, total
