Entity: VIR / SP.POP.TOTL
Year: 1960 | Value: 32500
Year: 1961 | Value: 34300
Year: 1962 | Value: 35000
Year: 1963 | Value: 39800
Year: 1964 | Value: 40800
Year: 1965 | Value: 43500
Year: 1966 | Value: 46200
Year: 1967 | Value: 49100
Year: 1968 | Value: 55700
Year: 1969 | Value: 60300
Year: 1970 | Value: 63476
Year: 1971 | Value: 70937
Year: 1972 | Value: 76319
Year: 1973 | Value: 84121
Year: 1974 | Value: 89941
Year: 1975 | Value: 94484
Year: 1976 | Value: 96166
Year: 1977 | Value: 93203
Year: 1978 | Value: 95929
Year: 1979 | Value: 96183
Year: 1980 | Value: 99636
Year: 1981 | Value: 99853
Year: 1982 | Value: 100068
Year: 1983 | Value: 100348
Year: 1984 | Value: 100600
Year: 1985 | Value: 100760
Year: 1986 | Value: 100842
Year: 1987 | Value: 100901
Year: 1988 | Value: 100952
Year: 1989 | Value: 101041
Year: 1990 | Value: 103963
Year: 1991 | Value: 104807
Year: 1992 | Value: 105712
Year: 1993 | Value: 106578
Year: 1994 | Value: 107318
Year: 1995 | Value: 107818
Year: 1996 | Value: 108095
Year: 1997 | Value: 108357
Year: 1998 | Value: 108537
Year: 1999 | Value: 108599
Year: 2000 | Value: 108642
Year: 2001 | Value: 108549
Year: 2002 | Value: 108509
Year: 2003 | Value: 108505
Year: 2004 | Value: 108466
Year: 2005 | Value: 108453
Year: 2006 | Value: 108369
Year: 2007 | Value: 108337
Year: 2008 | Value: 108397
Year: 2009 | Value: 108404
Year: 2010 | Value: 108357
Year: 2011 | Value: 108290
Year: 2012 | Value: 108188
Year: 2013 | Value: 108041
Year: 2014 | Value: 107882
Year: 2015 | Value: 107712
Year: 2016 | Value: 107516
Year: 2017 | Value: 107281
Year: 2018 | Value: 107001
Year: 2019 | Value: 106669
Year: 2020 | Value: 106290
Year: 2021 | Value: 105870
Year: 2022 | Value: 105413
Year: 2023 | Value: 104917
Year: 2024 | Value: 104377
Remark: Virgin Islands (U.S.)
Remark: Population, total
