Entity: VNM / SP.POP.TOTL
Year: 1960 | Value: 32531933
Year: 1961 | Value: 33409059
Year: 1962 | Value: 34288560
Year: 1963 | Value: 35249101
Year: 1964 | Value: 36201563
Year: 1965 | Value: 37129656
Year: 1966 | Value: 38024836
Year: 1967 | Value: 38895080
Year: 1968 | Value: 39734609
Year: 1969 | Value: 40582096
Year: 1970 | Value: 41475230
Year: 1971 | Value: 42449276
Year: 1972 | Value: 43429168
Year: 1973 | Value: 44409861
Year: 1974 | Value: 45413537
Year: 1975 | Value: 46482903
Year: 1976 | Value: 47684931
Year: 1977 | Value: 48954872
Year: 1978 | Value: 50249552
Year: 1979 | Value: 51378211
Year: 1980 | Value: 52490101
Year: 1981 | Value: 53738141
Year: 1982 | Value: 55011289
Year: 1983 | Value: 56337921
Year: 1984 | Value: 57706067
Year: 1985 | Value: 59060622
Year: 1986 | Value: 60347048
Year: 1987 | Value: 61584651
Year: 1988 | Value: 62843228
Year: 1989 | Value: 64147348
Year: 1990 | Value: 65504552
Year: 1991 | Value: 66891775
Year: 1992 | Value: 68260337
Year: 1993 | Value: 69586384
Year: 1994 | Value: 70854391
Year: 1995 | Value: 72049940
Year: 1996 | Value: 73156447
Year: 1997 | Value: 74226889
Year: 1998 | Value: 75299660
Year: 1999 | Value: 76287452
Year: 2000 | Value: 77154011
Year: 2001 | Value: 77969361
Year: 2002 | Value: 78772224
Year: 2003 | Value: 79563777
Year: 2004 | Value: 80338971
Year: 2005 | Value: 81088313
Year: 2006 | Value: 82167897
Year: 2007 | Value: 83633375
Year: 2008 | Value: 85175788
Year: 2009 | Value: 86460018
Year: 2010 | Value: 87455152
Year: 2011 | Value: 88468314
Year: 2012 | Value: 89510356
Year: 2013 | Value: 90573104
Year: 2014 | Value: 91679578
Year: 2015 | Value: 92823254
Year: 2016 | Value: 94000117
Year: 2017 | Value: 95176977
Year: 2018 | Value: 96237319
Year: 2019 | Value: 97173776
Year: 2020 | Value: 98079191
Year: 2021 | Value: 98935098
Year: 2022 | Value: 99680655
Year: 2023 | Value: 100352192
Year: 2024 | Value: 100987686
Remark: Viet Nam
Remark: Population, total
