Entity: VUT / SP.POP.TOTL
Year: 1960 | Value: 64431
Year: 1961 | Value: 66264
Year: 1962 | Value: 68174
Year: 1963 | Value: 70159
Year: 1964 | Value: 72219
Year: 1965 | Value: 74358
Year: 1966 | Value: 76590
Year: 1967 | Value: 78921
Year: 1968 | Value: 81314
Year: 1969 | Value: 83755
Year: 1970 | Value: 86266
Year: 1971 | Value: 88862
Year: 1972 | Value: 91562
Year: 1973 | Value: 94362
Year: 1974 | Value: 97260
Year: 1975 | Value: 100269
Year: 1976 | Value: 103388
Year: 1977 | Value: 106618
Year: 1978 | Value: 109963
Year: 1979 | Value: 113040
Year: 1980 | Value: 115660
Year: 1981 | Value: 118249
Year: 1982 | Value: 121035
Year: 1983 | Value: 123998
Year: 1984 | Value: 127109
Year: 1985 | Value: 130356
Year: 1986 | Value: 133720
Year: 1987 | Value: 137187
Year: 1988 | Value: 140756
Year: 1989 | Value: 144393
Year: 1990 | Value: 148063
Year: 1991 | Value: 151793
Year: 1992 | Value: 155608
Year: 1993 | Value: 159463
Year: 1994 | Value: 163314
Year: 1995 | Value: 167137
Year: 1996 | Value: 170911
Year: 1997 | Value: 174626
Year: 1998 | Value: 178313
Year: 1999 | Value: 182048
Year: 2000 | Value: 186281
Year: 2001 | Value: 191031
Year: 2002 | Value: 195863
Year: 2003 | Value: 200746
Year: 2004 | Value: 205711
Year: 2005 | Value: 210760
Year: 2006 | Value: 215923
Year: 2007 | Value: 221276
Year: 2008 | Value: 226896
Year: 2009 | Value: 232731
Year: 2010 | Value: 238248
Year: 2011 | Value: 243474
Year: 2012 | Value: 248883
Year: 2013 | Value: 254482
Year: 2014 | Value: 260240
Year: 2015 | Value: 266101
Year: 2016 | Value: 272087
Year: 2017 | Value: 278507
Year: 2018 | Value: 285259
Year: 2019 | Value: 291985
Year: 2020 | Value: 298858
Year: 2021 | Value: 305868
Year: 2022 | Value: 313046
Year: 2023 | Value: 320409
Year: 2024 | Value: 327777
Remark: Vanuatu
Remark: Population, total
