Entity: ALB / SH.DYN.MORT
Year: 1978 | Value: 96.2
Year: 1979 | Value: 88.4
Year: 1980 | Value: 81.2
Year: 1981 | Value: 74.9
Year: 1982 | Value: 69
Year: 1983 | Value: 63.7
Year: 1984 | Value: 59
Year: 1985 | Value: 54.8
Year: 1986 | Value: 51.1
Year: 1987 | Value: 47.9
Year: 1988 | Value: 45.1
Year: 1989 | Value: 42.8
Year: 1990 | Value: 40.8
Year: 1991 | Value: 39
Year: 1992 | Value: 37.6
Year: 1993 | Value: 36.2
Year: 1994 | Value: 34.9
Year: 1995 | Value: 33.6
Year: 1996 | Value: 32.4
Year: 1997 | Value: 31.1
Year: 1998 | Value: 29.8
Year: 1999 | Value: 28.4
Year: 2000 | Value: 27.1
Year: 2001 | Value: 25.7
Year: 2002 | Value: 24.3
Year: 2003 | Value: 22.9
Year: 2004 | Value: 21.4
Year: 2005 | Value: 20
Year: 2006 | Value: 18.5
Year: 2007 | Value: 17.1
Year: 2008 | Value: 15.8
Year: 2009 | Value: 14.5
Year: 2010 | Value: 13.3
Year: 2011 | Value: 12.2
Year: 2012 | Value: 11.2
Year: 2013 | Value: 10.5
Year: 2014 | Value: 9.9
Year: 2015 | Value: 9.6
Year: 2016 | Value: 9.4
Year: 2017 | Value: 9.3
Year: 2018 | Value: 9.3
Year: 2019 | Value: 9.4
Year: 2020 | Value: 9.4
Year: 2021 | Value: 9.5
Year: 2022 | Value: 9.4
Year: 2023 | Value: 9.4
Remark: Albania
Remark: Mortality rate, under-5 (per 1,000 live births)
