Entity: BFA / SH.DYN.MORT
Year: 1960 | Value: 344.6
Year: 1961 | Value: 340.7
Year: 1962 | Value: 337
Year: 1963 | Value: 333.7
Year: 1964 | Value: 330.5
Year: 1965 | Value: 327.8
Year: 1966 | Value: 325.1
Year: 1967 | Value: 322.4
Year: 1968 | Value: 320.3
Year: 1969 | Value: 317.7
Year: 1970 | Value: 314.9
Year: 1971 | Value: 311.7
Year: 1972 | Value: 307.1
Year: 1973 | Value: 300.9
Year: 1974 | Value: 292.9
Year: 1975 | Value: 283.6
Year: 1976 | Value: 273.2
Year: 1977 | Value: 263.2
Year: 1978 | Value: 254
Year: 1979 | Value: 246
Year: 1980 | Value: 239.1
Year: 1981 | Value: 233.2
Year: 1982 | Value: 228.1
Year: 1983 | Value: 223.4
Year: 1984 | Value: 218.8
Year: 1985 | Value: 214.3
Year: 1986 | Value: 209.8
Year: 1987 | Value: 205.7
Year: 1988 | Value: 202.3
Year: 1989 | Value: 199.8
Year: 1990 | Value: 198.3
Year: 1991 | Value: 197.6
Year: 1992 | Value: 197.3
Year: 1993 | Value: 196.9
Year: 1994 | Value: 195.9
Year: 1995 | Value: 194.3
Year: 1996 | Value: 191.8
Year: 1997 | Value: 188.7
Year: 1998 | Value: 185.4
Year: 1999 | Value: 181.8
Year: 2000 | Value: 178.1
Year: 2001 | Value: 174
Year: 2002 | Value: 169.3
Year: 2003 | Value: 164.3
Year: 2004 | Value: 158.6
Year: 2005 | Value: 152.3
Year: 2006 | Value: 145.7
Year: 2007 | Value: 139
Year: 2008 | Value: 132.7
Year: 2009 | Value: 126.8
Year: 2010 | Value: 121.5
Year: 2011 | Value: 116.8
Year: 2012 | Value: 112.6
Year: 2013 | Value: 108.6
Year: 2014 | Value: 104.7
Year: 2015 | Value: 101.1
Year: 2016 | Value: 97.7
Year: 2017 | Value: 94.3
Year: 2018 | Value: 91.2
Year: 2019 | Value: 88.2
Year: 2020 | Value: 85.3
Year: 2021 | Value: 82.5
Year: 2022 | Value: 79.9
Year: 2023 | Value: 77.3
Remark: Burkina Faso
Remark: Mortality rate, under-5 (per 1,000 live births)
