Entity: BRN / SH.DYN.MORT
Year: 1960 | Value: 89
Year: 1961 | Value: 82.4
Year: 1962 | Value: 76.6
Year: 1963 | Value: 71.5
Year: 1964 | Value: 67
Year: 1965 | Value: 63.2
Year: 1966 | Value: 59.8
Year: 1967 | Value: 56.9
Year: 1968 | Value: 54.2
Year: 1969 | Value: 51.6
Year: 1970 | Value: 49.1
Year: 1971 | Value: 46.4
Year: 1972 | Value: 43.5
Year: 1973 | Value: 40.6
Year: 1974 | Value: 37.7
Year: 1975 | Value: 34.9
Year: 1976 | Value: 32.1
Year: 1977 | Value: 29.5
Year: 1978 | Value: 27.1
Year: 1979 | Value: 24.8
Year: 1980 | Value: 22.8
Year: 1981 | Value: 20.9
Year: 1982 | Value: 19.3
Year: 1983 | Value: 17.9
Year: 1984 | Value: 16.7
Year: 1985 | Value: 15.7
Year: 1986 | Value: 14.8
Year: 1987 | Value: 14.2
Year: 1988 | Value: 13.8
Year: 1989 | Value: 13.5
Year: 1990 | Value: 13.3
Year: 1991 | Value: 13.2
Year: 1992 | Value: 13.1
Year: 1993 | Value: 13
Year: 1994 | Value: 12.7
Year: 1995 | Value: 12.3
Year: 1996 | Value: 11.9
Year: 1997 | Value: 11.5
Year: 1998 | Value: 11
Year: 1999 | Value: 10.7
Year: 2000 | Value: 10.3
Year: 2001 | Value: 10
Year: 2002 | Value: 9.8
Year: 2003 | Value: 9.6
Year: 2004 | Value: 9.5
Year: 2005 | Value: 9.5
Year: 2006 | Value: 9.5
Year: 2007 | Value: 9.5
Year: 2008 | Value: 9.6
Year: 2009 | Value: 9.6
Year: 2010 | Value: 9.7
Year: 2011 | Value: 9.8
Year: 2012 | Value: 9.9
Year: 2013 | Value: 9.9
Year: 2014 | Value: 10
Year: 2015 | Value: 10
Year: 2016 | Value: 10
Year: 2017 | Value: 10
Year: 2018 | Value: 9.9
Year: 2019 | Value: 9.8
Year: 2020 | Value: 9.7
Year: 2021 | Value: 9.6
Year: 2022 | Value: 9.5
Year: 2023 | Value: 9.4
Remark: Brunei Darussalam
Remark: Mortality rate, under-5 (per 1,000 live births)
