Entity: COD / SH.DYN.MORT
Year: 1969 | Value: 250.5
Year: 1970 | Value: 246.8
Year: 1971 | Value: 243.3
Year: 1972 | Value: 240.1
Year: 1973 | Value: 236.9
Year: 1974 | Value: 233.5
Year: 1975 | Value: 229.7
Year: 1976 | Value: 226.1
Year: 1977 | Value: 222.6
Year: 1978 | Value: 219
Year: 1979 | Value: 215.4
Year: 1980 | Value: 212
Year: 1981 | Value: 208.6
Year: 1982 | Value: 205.5
Year: 1983 | Value: 202.5
Year: 1984 | Value: 199.8
Year: 1985 | Value: 197.2
Year: 1986 | Value: 194.8
Year: 1987 | Value: 192.4
Year: 1988 | Value: 190.1
Year: 1989 | Value: 187.7
Year: 1990 | Value: 185.3
Year: 1991 | Value: 183.1
Year: 1992 | Value: 181
Year: 1993 | Value: 178.8
Year: 1994 | Value: 176.9
Year: 1995 | Value: 174.8
Year: 1996 | Value: 172.5
Year: 1997 | Value: 169.9
Year: 1998 | Value: 166.8
Year: 1999 | Value: 163.2
Year: 2000 | Value: 159.2
Year: 2001 | Value: 154.8
Year: 2002 | Value: 150.2
Year: 2003 | Value: 145.5
Year: 2004 | Value: 140.7
Year: 2005 | Value: 135.9
Year: 2006 | Value: 131.1
Year: 2007 | Value: 126.5
Year: 2008 | Value: 121.9
Year: 2009 | Value: 117.5
Year: 2010 | Value: 113.5
Year: 2011 | Value: 109.6
Year: 2012 | Value: 106
Year: 2013 | Value: 102.5
Year: 2014 | Value: 99
Year: 2015 | Value: 95.6
Year: 2016 | Value: 92.3
Year: 2017 | Value: 89.3
Year: 2018 | Value: 86.3
Year: 2019 | Value: 83.5
Year: 2020 | Value: 80.7
Year: 2021 | Value: 78.1
Year: 2022 | Value: 75.7
Year: 2023 | Value: 73.2
Remark: Congo, Dem. Rep.
Remark: Mortality rate, under-5 (per 1,000 live births)
