Entity: COL / SH.DYN.MORT
Year: 1960 | Value: 134.3
Year: 1961 | Value: 129.9
Year: 1962 | Value: 125.8
Year: 1963 | Value: 121.9
Year: 1964 | Value: 118.2
Year: 1965 | Value: 114.6
Year: 1966 | Value: 111.2
Year: 1967 | Value: 107.7
Year: 1968 | Value: 104.3
Year: 1969 | Value: 100.8
Year: 1970 | Value: 97.2
Year: 1971 | Value: 93.6
Year: 1972 | Value: 89.9
Year: 1973 | Value: 86
Year: 1974 | Value: 82
Year: 1975 | Value: 78
Year: 1976 | Value: 73.9
Year: 1977 | Value: 69.8
Year: 1978 | Value: 65.8
Year: 1979 | Value: 62
Year: 1980 | Value: 58.4
Year: 1981 | Value: 55
Year: 1982 | Value: 51.7
Year: 1983 | Value: 48.8
Year: 1984 | Value: 46.2
Year: 1985 | Value: 48.9
Year: 1986 | Value: 41.7
Year: 1987 | Value: 39.9
Year: 1988 | Value: 38.4
Year: 1989 | Value: 37
Year: 1990 | Value: 35.7
Year: 1991 | Value: 34.5
Year: 1992 | Value: 33.3
Year: 1993 | Value: 32.1
Year: 1994 | Value: 31
Year: 1995 | Value: 29.9
Year: 1996 | Value: 28.8
Year: 1997 | Value: 27.8
Year: 1998 | Value: 26.8
Year: 1999 | Value: 25.9
Year: 2000 | Value: 25.1
Year: 2001 | Value: 24.3
Year: 2002 | Value: 23.5
Year: 2003 | Value: 22.8
Year: 2004 | Value: 22.2
Year: 2005 | Value: 21.5
Year: 2006 | Value: 20.9
Year: 2007 | Value: 20.2
Year: 2008 | Value: 19.6
Year: 2009 | Value: 18.9
Year: 2010 | Value: 18.3
Year: 2011 | Value: 17.7
Year: 2012 | Value: 17.2
Year: 2013 | Value: 16.6
Year: 2014 | Value: 16.1
Year: 2015 | Value: 15.6
Year: 2016 | Value: 15.1
Year: 2017 | Value: 14.6
Year: 2018 | Value: 14.1
Year: 2019 | Value: 13.7
Year: 2020 | Value: 13.2
Year: 2021 | Value: 12.8
Year: 2022 | Value: 12.4
Year: 2023 | Value: 12
Remark: Colombia
Remark: Mortality rate, under-5 (per 1,000 live births)
