Entity: DMA / SH.DYN.MORT
Year: 1960 | Value: 136.4
Year: 1961 | Value: 124.3
Year: 1962 | Value: 113.2
Year: 1963 | Value: 103.2
Year: 1964 | Value: 94.1
Year: 1965 | Value: 85.9
Year: 1966 | Value: 78.4
Year: 1967 | Value: 71.6
Year: 1968 | Value: 65.4
Year: 1969 | Value: 59.8
Year: 1970 | Value: 54.8
Year: 1971 | Value: 50.2
Year: 1972 | Value: 46.1
Year: 1973 | Value: 42.4
Year: 1974 | Value: 39.1
Year: 1975 | Value: 36.1
Year: 1976 | Value: 33.5
Year: 1977 | Value: 31.2
Year: 1978 | Value: 29.2
Year: 1979 | Value: 27.4
Year: 1980 | Value: 25.8
Year: 1981 | Value: 24.5
Year: 1982 | Value: 23.3
Year: 1983 | Value: 22.2
Year: 1984 | Value: 21.4
Year: 1985 | Value: 20.6
Year: 1986 | Value: 20
Year: 1987 | Value: 19.5
Year: 1988 | Value: 19.1
Year: 1989 | Value: 18.8
Year: 1990 | Value: 18.5
Year: 1991 | Value: 18.4
Year: 1992 | Value: 18.2
Year: 1993 | Value: 18.2
Year: 1994 | Value: 18.2
Year: 1995 | Value: 18.3
Year: 1996 | Value: 18.4
Year: 1997 | Value: 18.6
Year: 1998 | Value: 18.8
Year: 1999 | Value: 19.1
Year: 2000 | Value: 19.4
Year: 2001 | Value: 19.7
Year: 2002 | Value: 20.1
Year: 2003 | Value: 20.6
Year: 2004 | Value: 21.1
Year: 2005 | Value: 21.6
Year: 2006 | Value: 22.2
Year: 2007 | Value: 22.8
Year: 2008 | Value: 23.5
Year: 2009 | Value: 24.2
Year: 2010 | Value: 25
Year: 2011 | Value: 25.7
Year: 2012 | Value: 26.6
Year: 2013 | Value: 27.4
Year: 2014 | Value: 28.3
Year: 2015 | Value: 29.3
Year: 2016 | Value: 30.2
Year: 2017 | Value: 31.2
Year: 2018 | Value: 32.1
Year: 2019 | Value: 33
Year: 2020 | Value: 33.8
Year: 2021 | Value: 34.5
Year: 2022 | Value: 35.1
Year: 2023 | Value: 35.5
Remark: Dominica
Remark: Mortality rate, under-5 (per 1,000 live births)
