Entity: ECU / SH.DYN.MORT
Year: 1960 | Value: 176.3
Year: 1961 | Value: 171
Year: 1962 | Value: 165.8
Year: 1963 | Value: 160.9
Year: 1964 | Value: 156.5
Year: 1965 | Value: 152.6
Year: 1966 | Value: 149.1
Year: 1967 | Value: 145.9
Year: 1968 | Value: 142.9
Year: 1969 | Value: 140.1
Year: 1970 | Value: 137.1
Year: 1971 | Value: 133.7
Year: 1972 | Value: 129.8
Year: 1973 | Value: 125.1
Year: 1974 | Value: 120.2
Year: 1975 | Value: 115
Year: 1976 | Value: 109.7
Year: 1977 | Value: 104.8
Year: 1978 | Value: 100.1
Year: 1979 | Value: 95.7
Year: 1980 | Value: 91.2
Year: 1981 | Value: 86.8
Year: 1982 | Value: 82.3
Year: 1983 | Value: 77.8
Year: 1984 | Value: 73.5
Year: 1985 | Value: 69.5
Year: 1986 | Value: 65.8
Year: 1987 | Value: 62.5
Year: 1988 | Value: 59.4
Year: 1989 | Value: 56.6
Year: 1990 | Value: 53.9
Year: 1991 | Value: 51.2
Year: 1992 | Value: 48.6
Year: 1993 | Value: 46
Year: 1994 | Value: 43.4
Year: 1995 | Value: 40.8
Year: 1996 | Value: 38.2
Year: 1997 | Value: 35.7
Year: 1998 | Value: 33.4
Year: 1999 | Value: 31.4
Year: 2000 | Value: 29.6
Year: 2001 | Value: 28.1
Year: 2002 | Value: 26.8
Year: 2003 | Value: 25.7
Year: 2004 | Value: 24.6
Year: 2005 | Value: 23.7
Year: 2006 | Value: 22.8
Year: 2007 | Value: 21.9
Year: 2008 | Value: 21
Year: 2009 | Value: 20
Year: 2010 | Value: 19.2
Year: 2011 | Value: 18.3
Year: 2012 | Value: 17.4
Year: 2013 | Value: 16.6
Year: 2014 | Value: 15.9
Year: 2015 | Value: 15.3
Year: 2016 | Value: 14.8
Year: 2017 | Value: 14.4
Year: 2018 | Value: 14.1
Year: 2019 | Value: 13.8
Year: 2020 | Value: 13.6
Year: 2021 | Value: 13.4
Year: 2022 | Value: 13.2
Year: 2023 | Value: 13.1
Remark: Ecuador
Remark: Mortality rate, under-5 (per 1,000 live births)
