Entity: ETH / SH.DYN.MORT
Year: 1966 | Value: 277.6
Year: 1967 | Value: 248.9
Year: 1968 | Value: 248.4
Year: 1969 | Value: 247.9
Year: 1970 | Value: 247.4
Year: 1971 | Value: 247.1
Year: 1972 | Value: 246.6
Year: 1973 | Value: 246.3
Year: 1974 | Value: 283.1
Year: 1975 | Value: 281.8
Year: 1976 | Value: 245.1
Year: 1977 | Value: 244.6
Year: 1978 | Value: 243.7
Year: 1979 | Value: 242.4
Year: 1980 | Value: 240.4
Year: 1981 | Value: 237.9
Year: 1982 | Value: 234.6
Year: 1983 | Value: 320
Year: 1984 | Value: 314.3
Year: 1985 | Value: 303.2
Year: 1986 | Value: 296.8
Year: 1987 | Value: 214.5
Year: 1988 | Value: 210.4
Year: 1989 | Value: 206.2
Year: 1990 | Value: 201.7
Year: 1991 | Value: 196.7
Year: 1992 | Value: 191.3
Year: 1993 | Value: 185.4
Year: 1994 | Value: 179
Year: 1995 | Value: 172.4
Year: 1996 | Value: 165.8
Year: 1997 | Value: 159.2
Year: 1998 | Value: 152.9
Year: 1999 | Value: 146.7
Year: 2000 | Value: 140.4
Year: 2001 | Value: 134.1
Year: 2002 | Value: 127.7
Year: 2003 | Value: 121.4
Year: 2004 | Value: 115
Year: 2005 | Value: 108.8
Year: 2006 | Value: 102.9
Year: 2007 | Value: 97.4
Year: 2008 | Value: 92.3
Year: 2009 | Value: 87.6
Year: 2010 | Value: 83.2
Year: 2011 | Value: 79.1
Year: 2012 | Value: 75.3
Year: 2013 | Value: 71.6
Year: 2014 | Value: 68.2
Year: 2015 | Value: 64.9
Year: 2016 | Value: 61.7
Year: 2017 | Value: 58.9
Year: 2018 | Value: 56.4
Year: 2019 | Value: 54.1
Year: 2020 | Value: 52
Year: 2021 | Value: 50
Year: 2022 | Value: 48.2
Year: 2023 | Value: 46.5
Remark: Ethiopia
Remark: Mortality rate, under-5 (per 1,000 live births)
