Entity: GEO / SH.DYN.MORT
Year: 1975 | Value: 71.2
Year: 1976 | Value: 68.6
Year: 1977 | Value: 66.1
Year: 1978 | Value: 63.6
Year: 1979 | Value: 61.3
Year: 1980 | Value: 59
Year: 1981 | Value: 56.9
Year: 1982 | Value: 54.9
Year: 1983 | Value: 53.1
Year: 1984 | Value: 51.6
Year: 1985 | Value: 50.4
Year: 1986 | Value: 49.4
Year: 1987 | Value: 48.7
Year: 1988 | Value: 48.2
Year: 1989 | Value: 47.8
Year: 1990 | Value: 47.5
Year: 1991 | Value: 47.2
Year: 1992 | Value: 46.8
Year: 1993 | Value: 46.3
Year: 1994 | Value: 45.6
Year: 1995 | Value: 44.7
Year: 1996 | Value: 43.6
Year: 1997 | Value: 42.2
Year: 1998 | Value: 40.5
Year: 1999 | Value: 38.5
Year: 2000 | Value: 36.3
Year: 2001 | Value: 33.9
Year: 2002 | Value: 31.3
Year: 2003 | Value: 28.7
Year: 2004 | Value: 26
Year: 2005 | Value: 23.5
Year: 2006 | Value: 21.2
Year: 2007 | Value: 19
Year: 2008 | Value: 17.2
Year: 2009 | Value: 15.5
Year: 2010 | Value: 14.1
Year: 2011 | Value: 13
Year: 2012 | Value: 12.1
Year: 2013 | Value: 11.4
Year: 2014 | Value: 10.9
Year: 2015 | Value: 10.5
Year: 2016 | Value: 10.2
Year: 2017 | Value: 10
Year: 2018 | Value: 9.8
Year: 2019 | Value: 9.7
Year: 2020 | Value: 9.6
Year: 2021 | Value: 9.5
Year: 2022 | Value: 9.3
Year: 2023 | Value: 9.2
Remark: Georgia
Remark: Mortality rate, under-5 (per 1,000 live births)
