Entity: GTM / SH.DYN.MORT
Year: 1960 | Value: 221.5
Year: 1961 | Value: 216.3
Year: 1962 | Value: 211.1
Year: 1963 | Value: 206.1
Year: 1964 | Value: 201.1
Year: 1965 | Value: 196.3
Year: 1966 | Value: 191.2
Year: 1967 | Value: 186.3
Year: 1968 | Value: 181.3
Year: 1969 | Value: 176.3
Year: 1970 | Value: 171.2
Year: 1971 | Value: 166
Year: 1972 | Value: 160.9
Year: 1973 | Value: 155.9
Year: 1974 | Value: 150.8
Year: 1975 | Value: 145.9
Year: 1976 | Value: 165.1
Year: 1977 | Value: 136.3
Year: 1978 | Value: 131.6
Year: 1979 | Value: 126.9
Year: 1980 | Value: 122.3
Year: 1981 | Value: 117.7
Year: 1982 | Value: 135.7
Year: 1983 | Value: 108.8
Year: 1984 | Value: 104.5
Year: 1985 | Value: 100.2
Year: 1986 | Value: 96
Year: 1987 | Value: 91.9
Year: 1988 | Value: 87.9
Year: 1989 | Value: 84.1
Year: 1990 | Value: 80.4
Year: 1991 | Value: 76.8
Year: 1992 | Value: 73.4
Year: 1993 | Value: 70.2
Year: 1994 | Value: 67.1
Year: 1995 | Value: 64.2
Year: 1996 | Value: 61.5
Year: 1997 | Value: 58.9
Year: 1998 | Value: 56.5
Year: 1999 | Value: 54.2
Year: 2000 | Value: 52.1
Year: 2001 | Value: 50
Year: 2002 | Value: 48
Year: 2003 | Value: 46.1
Year: 2004 | Value: 44.3
Year: 2005 | Value: 42.6
Year: 2006 | Value: 41
Year: 2007 | Value: 39.3
Year: 2008 | Value: 37.8
Year: 2009 | Value: 36.2
Year: 2010 | Value: 34.8
Year: 2011 | Value: 33.3
Year: 2012 | Value: 32
Year: 2013 | Value: 30.7
Year: 2014 | Value: 29.4
Year: 2015 | Value: 28.3
Year: 2016 | Value: 27.2
Year: 2017 | Value: 26.3
Year: 2018 | Value: 25.4
Year: 2019 | Value: 24.5
Year: 2020 | Value: 23.7
Year: 2021 | Value: 22.8
Year: 2022 | Value: 22.1
Year: 2023 | Value: 21.4
Remark: Guatemala
Remark: Mortality rate, under-5 (per 1,000 live births)
