Entity: IDA / SH.DYN.MORT
Year: 1990 | Value: 160.922518176321
Year: 1991 | Value: 160.955336522499
Year: 1992 | Value: 158.924230426741
Year: 1993 | Value: 154.179952891968
Year: 1994 | Value: 152.235557118081
Year: 1995 | Value: 148.175320044004
Year: 1996 | Value: 145.125327330891
Year: 1997 | Value: 141.632664858522
Year: 1998 | Value: 139.193316112785
Year: 1999 | Value: 133.355761946725
Year: 2000 | Value: 128.803909691557
Year: 2001 | Value: 124.15499666603
Year: 2002 | Value: 119.377183072678
Year: 2003 | Value: 114.905075940129
Year: 2004 | Value: 111.022565773566
Year: 2005 | Value: 106.784879607431
Year: 2006 | Value: 102.477939505272
Year: 2007 | Value: 98.6503928836618
Year: 2008 | Value: 95.7499314117212
Year: 2009 | Value: 93.4078805771097
Year: 2010 | Value: 89.8433750279246
Year: 2011 | Value: 88.9407645578138
Year: 2012 | Value: 84.4894565148714
Year: 2013 | Value: 81.6745758322203
Year: 2014 | Value: 80.3705052925112
Year: 2015 | Value: 78.2836021922231
Year: 2016 | Value: 76.17991593048
Year: 2017 | Value: 74.4997004446798
Year: 2018 | Value: 71.011177848514
Year: 2019 | Value: 68.9776041241321
Year: 2020 | Value: 66.3357466652147
Year: 2021 | Value: 64.6201211425127
Year: 2022 | Value: 64.1325899199788
Year: 2023 | Value: 60.6170528832606
Remark: IDA total
Remark: Mortality rate, under-5 (per 1,000 live births)
