Entity: IRQ / SH.DYN.MORT
Year: 1960 | Value: 190.1
Year: 1961 | Value: 179.2
Year: 1962 | Value: 169.3
Year: 1963 | Value: 159.9
Year: 1964 | Value: 151.4
Year: 1965 | Value: 143.6
Year: 1966 | Value: 136.4
Year: 1967 | Value: 129.8
Year: 1968 | Value: 123.7
Year: 1969 | Value: 117.8
Year: 1970 | Value: 112.4
Year: 1971 | Value: 107.3
Year: 1972 | Value: 102.5
Year: 1973 | Value: 97.9
Year: 1974 | Value: 93.5
Year: 1975 | Value: 89.3
Year: 1976 | Value: 85.4
Year: 1977 | Value: 81.7
Year: 1978 | Value: 78.3
Year: 1979 | Value: 75.2
Year: 1980 | Value: 72.3
Year: 1981 | Value: 69.6
Year: 1982 | Value: 67.1
Year: 1983 | Value: 64.9
Year: 1984 | Value: 62.8
Year: 1985 | Value: 60.9
Year: 1986 | Value: 59.1
Year: 1987 | Value: 57.5
Year: 1988 | Value: 69.2
Year: 1989 | Value: 81.2
Year: 1990 | Value: 79.7
Year: 1991 | Value: 64.9
Year: 1992 | Value: 51.7
Year: 1993 | Value: 50.7
Year: 1994 | Value: 49.8
Year: 1995 | Value: 48.9
Year: 1996 | Value: 48
Year: 1997 | Value: 47.1
Year: 1998 | Value: 46.1
Year: 1999 | Value: 45.2
Year: 2000 | Value: 44.3
Year: 2001 | Value: 43.3
Year: 2002 | Value: 42.4
Year: 2003 | Value: 41.6
Year: 2004 | Value: 40.7
Year: 2005 | Value: 39.7
Year: 2006 | Value: 38.8
Year: 2007 | Value: 37.8
Year: 2008 | Value: 36.7
Year: 2009 | Value: 35.6
Year: 2010 | Value: 34.6
Year: 2011 | Value: 33.5
Year: 2012 | Value: 32.4
Year: 2013 | Value: 31.4
Year: 2014 | Value: 30.4
Year: 2015 | Value: 29.4
Year: 2016 | Value: 28.4
Year: 2017 | Value: 27.5
Year: 2018 | Value: 26.6
Year: 2019 | Value: 25.7
Year: 2020 | Value: 24.9
Year: 2021 | Value: 24.1
Year: 2022 | Value: 23.3
Year: 2023 | Value: 22.6
Remark: Iraq
Remark: Mortality rate, under-5 (per 1,000 live births)
