Entity: KEN / SH.DYN.MORT
Year: 1960 | Value: 196.3
Year: 1961 | Value: 188.3
Year: 1962 | Value: 181.1
Year: 1963 | Value: 175
Year: 1964 | Value: 170
Year: 1965 | Value: 165.9
Year: 1966 | Value: 162.5
Year: 1967 | Value: 159.5
Year: 1968 | Value: 156.6
Year: 1969 | Value: 153.5
Year: 1970 | Value: 150.3
Year: 1971 | Value: 146.9
Year: 1972 | Value: 143.3
Year: 1973 | Value: 139.5
Year: 1974 | Value: 135.4
Year: 1975 | Value: 131.2
Year: 1976 | Value: 126.7
Year: 1977 | Value: 122.3
Year: 1978 | Value: 117.8
Year: 1979 | Value: 113.5
Year: 1980 | Value: 109.6
Year: 1981 | Value: 105.9
Year: 1982 | Value: 102.6
Year: 1983 | Value: 99.8
Year: 1984 | Value: 97.4
Year: 1985 | Value: 95.7
Year: 1986 | Value: 94.9
Year: 1987 | Value: 95.1
Year: 1988 | Value: 96.3
Year: 1989 | Value: 98.5
Year: 1990 | Value: 101.4
Year: 1991 | Value: 104.6
Year: 1992 | Value: 107.4
Year: 1993 | Value: 109.3
Year: 1994 | Value: 110.2
Year: 1995 | Value: 110
Year: 1996 | Value: 108.9
Year: 1997 | Value: 107
Year: 1998 | Value: 104.2
Year: 1999 | Value: 100.6
Year: 2000 | Value: 96.3
Year: 2001 | Value: 91.6
Year: 2002 | Value: 86.6
Year: 2003 | Value: 81.6
Year: 2004 | Value: 76.6
Year: 2005 | Value: 71.5
Year: 2006 | Value: 67.1
Year: 2007 | Value: 63.2
Year: 2008 | Value: 58.2
Year: 2009 | Value: 55.4
Year: 2010 | Value: 53.5
Year: 2011 | Value: 52.2
Year: 2012 | Value: 51.2
Year: 2013 | Value: 50
Year: 2014 | Value: 48.8
Year: 2015 | Value: 47.4
Year: 2016 | Value: 46
Year: 2017 | Value: 45.3
Year: 2018 | Value: 44.3
Year: 2019 | Value: 43.3
Year: 2020 | Value: 42.8
Year: 2021 | Value: 41.9
Year: 2022 | Value: 41.1
Year: 2023 | Value: 39.9
Remark: Kenya
Remark: Mortality rate, under-5 (per 1,000 live births)
