Entity: KOR / SH.DYN.MORT
Year: 1960 | Value: 111.6
Year: 1961 | Value: 106.3
Year: 1962 | Value: 101.4
Year: 1963 | Value: 96.7
Year: 1964 | Value: 91.8
Year: 1965 | Value: 86.8
Year: 1966 | Value: 81.6
Year: 1967 | Value: 76.2
Year: 1968 | Value: 71
Year: 1969 | Value: 65.9
Year: 1970 | Value: 61.2
Year: 1971 | Value: 57.1
Year: 1972 | Value: 53.6
Year: 1973 | Value: 50.7
Year: 1974 | Value: 48.2
Year: 1975 | Value: 46.1
Year: 1976 | Value: 44.2
Year: 1977 | Value: 42.3
Year: 1978 | Value: 40.4
Year: 1979 | Value: 38.4
Year: 1980 | Value: 36.3
Year: 1981 | Value: 34
Year: 1982 | Value: 31.7
Year: 1983 | Value: 29.3
Year: 1984 | Value: 27
Year: 1985 | Value: 24.6
Year: 1986 | Value: 22.5
Year: 1987 | Value: 20.5
Year: 1988 | Value: 18.7
Year: 1989 | Value: 17.1
Year: 1990 | Value: 15.7
Year: 1991 | Value: 14.4
Year: 1992 | Value: 13.3
Year: 1993 | Value: 12.3
Year: 1994 | Value: 11.4
Year: 1995 | Value: 10.5
Year: 1996 | Value: 9.8
Year: 1997 | Value: 9.1
Year: 1998 | Value: 8.5
Year: 1999 | Value: 8
Year: 2000 | Value: 7.5
Year: 2001 | Value: 7.1
Year: 2002 | Value: 6.8
Year: 2003 | Value: 6.4
Year: 2004 | Value: 6
Year: 2005 | Value: 5.6
Year: 2006 | Value: 5.2
Year: 2007 | Value: 4.8
Year: 2008 | Value: 4.5
Year: 2009 | Value: 4.3
Year: 2010 | Value: 4.1
Year: 2011 | Value: 4
Year: 2012 | Value: 3.8
Year: 2013 | Value: 3.7
Year: 2014 | Value: 3.6
Year: 2015 | Value: 3.5
Year: 2016 | Value: 3.4
Year: 2017 | Value: 3.3
Year: 2018 | Value: 3.2
Year: 2019 | Value: 3.1
Year: 2020 | Value: 3
Year: 2021 | Value: 2.9
Year: 2022 | Value: 2.8
Year: 2023 | Value: 2.8
Remark: Korea, Rep.
Remark: Mortality rate, under-5 (per 1,000 live births)
