Entity: LMY / SH.DYN.MORT
Year: 1990 | Value: 101.885856714789
Year: 1991 | Value: 102.711464083977
Year: 1992 | Value: 101.486131572399
Year: 1993 | Value: 99.0994149887402
Year: 1994 | Value: 97.653959599668
Year: 1995 | Value: 95.6501146461808
Year: 1996 | Value: 93.681192171232
Year: 1997 | Value: 91.4906078567599
Year: 1998 | Value: 89.5948683843082
Year: 1999 | Value: 86.4871528020845
Year: 2000 | Value: 83.3537241300808
Year: 2001 | Value: 80.7659903656144
Year: 2002 | Value: 77.7817637806851
Year: 2003 | Value: 74.7184999852497
Year: 2004 | Value: 72.112037750949
Year: 2005 | Value: 68.9933149190651
Year: 2006 | Value: 66.0744014688907
Year: 2007 | Value: 63.3677029817155
Year: 2008 | Value: 60.9689965628908
Year: 2009 | Value: 58.9240114275953
Year: 2010 | Value: 56.5374168941073
Year: 2011 | Value: 55.1885255383716
Year: 2012 | Value: 52.0255795253999
Year: 2013 | Value: 50.3758351724208
Year: 2014 | Value: 48.9270703507628
Year: 2015 | Value: 47.7820228392106
Year: 2016 | Value: 46.168926084062
Year: 2017 | Value: 45.0235971787309
Year: 2018 | Value: 43.9888307349401
Year: 2019 | Value: 43.0250943064954
Year: 2020 | Value: 42.423581992716
Year: 2021 | Value: 41.8169485693717
Year: 2022 | Value: 41.7305066227202
Year: 2023 | Value: 40.0195748267782
Remark: Low & middle income
Remark: Mortality rate, under-5 (per 1,000 live births)
