Entity: LTE / SH.DYN.MORT
Year: 1990 | Value: 50.5253951065989
Year: 1991 | Value: 49.1950808368069
Year: 1992 | Value: 47.9414921352291
Year: 1993 | Value: 46.4758465256318
Year: 1994 | Value: 44.7851711709952
Year: 1995 | Value: 43.9400885208091
Year: 1996 | Value: 42.0637633013612
Year: 1997 | Value: 40.1531843643427
Year: 1998 | Value: 38.1242558933776
Year: 1999 | Value: 36.0916783251304
Year: 2000 | Value: 34.0694613116789
Year: 2001 | Value: 31.8731770607642
Year: 2002 | Value: 29.6607096056
Year: 2003 | Value: 26.7556066949389
Year: 2004 | Value: 25.0715594618717
Year: 2005 | Value: 23.051708416539
Year: 2006 | Value: 21.4188479347562
Year: 2007 | Value: 19.9277032174553
Year: 2008 | Value: 18.5885373906122
Year: 2009 | Value: 17.5290943130428
Year: 2010 | Value: 16.3868011682878
Year: 2011 | Value: 15.4427953606332
Year: 2012 | Value: 14.5038376402574
Year: 2013 | Value: 13.7272853848982
Year: 2014 | Value: 12.9196831165913
Year: 2015 | Value: 12.3143307498104
Year: 2016 | Value: 11.6780030313796
Year: 2017 | Value: 10.9925622619796
Year: 2018 | Value: 10.672637883256
Year: 2019 | Value: 10.2763763894487
Year: 2020 | Value: 10.1339013614469
Year: 2021 | Value: 9.90668417309083
Year: 2022 | Value: 9.73220674574059
Year: 2023 | Value: 9.4859784770801
Remark: Late-demographic dividend
Remark: Mortality rate, under-5 (per 1,000 live births)
