Entity: MKD / SH.DYN.MORT
Year: 1981 | Value: 57.9
Year: 1982 | Value: 55.3
Year: 1983 | Value: 52.5
Year: 1984 | Value: 50.6
Year: 1985 | Value: 50
Year: 1986 | Value: 49.1
Year: 1987 | Value: 46.9
Year: 1988 | Value: 43.6
Year: 1989 | Value: 40.1
Year: 1990 | Value: 37
Year: 1991 | Value: 34.6
Year: 1992 | Value: 33
Year: 1993 | Value: 31.3
Year: 1994 | Value: 28.5
Year: 1995 | Value: 24.5
Year: 1996 | Value: 21.2
Year: 1997 | Value: 19.3
Year: 1998 | Value: 18.3
Year: 1999 | Value: 17.3
Year: 2000 | Value: 15.9
Year: 2001 | Value: 14.8
Year: 2002 | Value: 14.3
Year: 2003 | Value: 14.3
Year: 2004 | Value: 14.2
Year: 2005 | Value: 13.7
Year: 2006 | Value: 13
Year: 2007 | Value: 12.3
Year: 2008 | Value: 11.7
Year: 2009 | Value: 11
Year: 2010 | Value: 10.4
Year: 2011 | Value: 10
Year: 2012 | Value: 10.2
Year: 2013 | Value: 10.7
Year: 2014 | Value: 11.1
Year: 2015 | Value: 11.3
Year: 2016 | Value: 10.8
Year: 2017 | Value: 9.7
Year: 2018 | Value: 8.3
Year: 2019 | Value: 7
Year: 2020 | Value: 5.9
Year: 2021 | Value: 5
Year: 2022 | Value: 4.1
Year: 2023 | Value: 3.3
Remark: North Macedonia
Remark: Mortality rate, under-5 (per 1,000 live births)
