Entity: MNE / SH.DYN.MORT
Year: 1984 | Value: 27.2
Year: 1985 | Value: 24.8
Year: 1986 | Value: 22.5
Year: 1987 | Value: 20.5
Year: 1988 | Value: 18.9
Year: 1989 | Value: 17.5
Year: 1990 | Value: 16.5
Year: 1991 | Value: 15.8
Year: 1992 | Value: 15.4
Year: 1993 | Value: 15.2
Year: 1994 | Value: 15.1
Year: 1995 | Value: 15.1
Year: 1996 | Value: 15.1
Year: 1997 | Value: 15.1
Year: 1998 | Value: 14.9
Year: 1999 | Value: 14.6
Year: 2000 | Value: 14.2
Year: 2001 | Value: 13.7
Year: 2002 | Value: 13
Year: 2003 | Value: 12.2
Year: 2004 | Value: 11.4
Year: 2005 | Value: 10.6
Year: 2006 | Value: 9.7
Year: 2007 | Value: 8.9
Year: 2008 | Value: 8
Year: 2009 | Value: 7.3
Year: 2010 | Value: 6.6
Year: 2011 | Value: 5.9
Year: 2012 | Value: 5.4
Year: 2013 | Value: 4.9
Year: 2014 | Value: 4.5
Year: 2015 | Value: 4.1
Year: 2016 | Value: 3.8
Year: 2017 | Value: 3.6
Year: 2018 | Value: 3.3
Year: 2019 | Value: 3.2
Year: 2020 | Value: 3
Year: 2021 | Value: 2.8
Year: 2022 | Value: 2.7
Year: 2023 | Value: 2.6
Remark: Montenegro
Remark: Mortality rate, under-5 (per 1,000 live births)
