Entity: MNG / SH.DYN.MORT
Year: 1978 | Value: 173.4
Year: 1979 | Value: 167
Year: 1980 | Value: 160.9
Year: 1981 | Value: 155.3
Year: 1982 | Value: 149.8
Year: 1983 | Value: 144.4
Year: 1984 | Value: 139
Year: 1985 | Value: 133.5
Year: 1986 | Value: 127.9
Year: 1987 | Value: 122.3
Year: 1988 | Value: 116.7
Year: 1989 | Value: 111.4
Year: 1990 | Value: 106.5
Year: 1991 | Value: 102
Year: 1992 | Value: 97.8
Year: 1993 | Value: 93.9
Year: 1994 | Value: 90
Year: 1995 | Value: 86
Year: 1996 | Value: 81.9
Year: 1997 | Value: 77.4
Year: 1998 | Value: 72.7
Year: 1999 | Value: 67.8
Year: 2000 | Value: 62.9
Year: 2001 | Value: 58
Year: 2002 | Value: 53.2
Year: 2003 | Value: 48.7
Year: 2004 | Value: 44.5
Year: 2005 | Value: 40.7
Year: 2006 | Value: 37.1
Year: 2007 | Value: 33.9
Year: 2008 | Value: 31.1
Year: 2009 | Value: 28.5
Year: 2010 | Value: 26.3
Year: 2011 | Value: 24.4
Year: 2012 | Value: 22.8
Year: 2013 | Value: 21.5
Year: 2014 | Value: 20.4
Year: 2015 | Value: 19.4
Year: 2016 | Value: 18.4
Year: 2017 | Value: 17.4
Year: 2018 | Value: 16.4
Year: 2019 | Value: 15.6
Year: 2020 | Value: 14.8
Year: 2021 | Value: 14.3
Year: 2022 | Value: 13.9
Year: 2023 | Value: 13.6
Remark: Mongolia
Remark: Mortality rate, under-5 (per 1,000 live births)
