Entity: MRT / SH.DYN.MORT
Year: 1960 | Value: 253.4
Year: 1961 | Value: 246.5
Year: 1962 | Value: 240
Year: 1963 | Value: 233.6
Year: 1964 | Value: 226.8
Year: 1965 | Value: 220.1
Year: 1966 | Value: 213.2
Year: 1967 | Value: 206
Year: 1968 | Value: 199.1
Year: 1969 | Value: 193.9
Year: 1970 | Value: 190.4
Year: 1971 | Value: 189
Year: 1972 | Value: 189
Year: 1973 | Value: 189.7
Year: 1974 | Value: 189.8
Year: 1975 | Value: 188.6
Year: 1976 | Value: 185.8
Year: 1977 | Value: 181.5
Year: 1978 | Value: 176.2
Year: 1979 | Value: 170.9
Year: 1980 | Value: 165.8
Year: 1981 | Value: 160.9
Year: 1982 | Value: 156
Year: 1983 | Value: 150.8
Year: 1984 | Value: 144.8
Year: 1985 | Value: 138.2
Year: 1986 | Value: 131.6
Year: 1987 | Value: 125.9
Year: 1988 | Value: 121.1
Year: 1989 | Value: 117.6
Year: 1990 | Value: 115.4
Year: 1991 | Value: 114.1
Year: 1992 | Value: 113.1
Year: 1993 | Value: 112.3
Year: 1994 | Value: 111.6
Year: 1995 | Value: 110.8
Year: 1996 | Value: 109.7
Year: 1997 | Value: 107.9
Year: 1998 | Value: 105.5
Year: 1999 | Value: 102.3
Year: 2000 | Value: 98.2
Year: 2001 | Value: 93.5
Year: 2002 | Value: 88.1
Year: 2003 | Value: 82.5
Year: 2004 | Value: 77
Year: 2005 | Value: 71.8
Year: 2006 | Value: 67.3
Year: 2007 | Value: 63.5
Year: 2008 | Value: 60.4
Year: 2009 | Value: 57.9
Year: 2010 | Value: 56.1
Year: 2011 | Value: 54.5
Year: 2012 | Value: 53.1
Year: 2013 | Value: 51.7
Year: 2014 | Value: 50.4
Year: 2015 | Value: 48.9
Year: 2016 | Value: 47.4
Year: 2017 | Value: 45.9
Year: 2018 | Value: 44.5
Year: 2019 | Value: 43
Year: 2020 | Value: 41.7
Year: 2021 | Value: 40.3
Year: 2022 | Value: 39.1
Year: 2023 | Value: 37.8
Remark: Mauritania
Remark: Mortality rate, under-5 (per 1,000 live births)
