Entity: NGA / SH.DYN.MORT
Year: 1964 | Value: 327.1
Year: 1965 | Value: 320.2
Year: 1966 | Value: 313.4
Year: 1967 | Value: 306.6
Year: 1968 | Value: 299.9
Year: 1969 | Value: 292.5
Year: 1970 | Value: 285.1
Year: 1971 | Value: 277
Year: 1972 | Value: 268.8
Year: 1973 | Value: 260.5
Year: 1974 | Value: 252
Year: 1975 | Value: 243.9
Year: 1976 | Value: 236.2
Year: 1977 | Value: 229.1
Year: 1978 | Value: 222.9
Year: 1979 | Value: 217.6
Year: 1980 | Value: 213.2
Year: 1981 | Value: 210
Year: 1982 | Value: 208
Year: 1983 | Value: 207.2
Year: 1984 | Value: 207.2
Year: 1985 | Value: 207.8
Year: 1986 | Value: 208.7
Year: 1987 | Value: 209.4
Year: 1988 | Value: 209.9
Year: 1989 | Value: 210.1
Year: 1990 | Value: 209.8
Year: 1991 | Value: 209.2
Year: 1992 | Value: 208.3
Year: 1993 | Value: 207.3
Year: 1994 | Value: 205.8
Year: 1995 | Value: 203.8
Year: 1996 | Value: 201.1
Year: 1997 | Value: 197.4
Year: 1998 | Value: 192.9
Year: 1999 | Value: 187.8
Year: 2000 | Value: 182.3
Year: 2001 | Value: 176.8
Year: 2002 | Value: 171.1
Year: 2003 | Value: 165.4
Year: 2004 | Value: 159.8
Year: 2005 | Value: 154.5
Year: 2006 | Value: 149.6
Year: 2007 | Value: 145.2
Year: 2008 | Value: 141.3
Year: 2009 | Value: 138
Year: 2010 | Value: 135.1
Year: 2011 | Value: 132.9
Year: 2012 | Value: 130.9
Year: 2013 | Value: 129.3
Year: 2014 | Value: 127.9
Year: 2015 | Value: 126.4
Year: 2016 | Value: 124.8
Year: 2017 | Value: 122.8
Year: 2018 | Value: 120.2
Year: 2019 | Value: 117.5
Year: 2020 | Value: 114.4
Year: 2021 | Value: 111.3
Year: 2022 | Value: 108.1
Year: 2023 | Value: 104.9
Remark: Nigeria
Remark: Mortality rate, under-5 (per 1,000 live births)
