Entity: OMN / SH.DYN.MORT
Year: 1960 | Value: 375.2
Year: 1961 | Value: 357.7
Year: 1962 | Value: 342
Year: 1963 | Value: 326.6
Year: 1964 | Value: 312.1
Year: 1965 | Value: 297.9
Year: 1966 | Value: 284.4
Year: 1967 | Value: 270.6
Year: 1968 | Value: 257.3
Year: 1969 | Value: 244.1
Year: 1970 | Value: 230.9
Year: 1971 | Value: 217.9
Year: 1972 | Value: 205.3
Year: 1973 | Value: 193
Year: 1974 | Value: 181
Year: 1975 | Value: 169.1
Year: 1976 | Value: 157.1
Year: 1977 | Value: 145.3
Year: 1978 | Value: 133.6
Year: 1979 | Value: 122.3
Year: 1980 | Value: 111.3
Year: 1981 | Value: 100.9
Year: 1982 | Value: 91
Year: 1983 | Value: 81.8
Year: 1984 | Value: 73.4
Year: 1985 | Value: 65.8
Year: 1986 | Value: 59
Year: 1987 | Value: 53
Year: 1988 | Value: 47.8
Year: 1989 | Value: 43.2
Year: 1990 | Value: 39.1
Year: 1991 | Value: 35.4
Year: 1992 | Value: 32
Year: 1993 | Value: 29
Year: 1994 | Value: 26.4
Year: 1995 | Value: 24.1
Year: 1996 | Value: 22.2
Year: 1997 | Value: 20.4
Year: 1998 | Value: 18.9
Year: 1999 | Value: 17.6
Year: 2000 | Value: 16.4
Year: 2001 | Value: 15.4
Year: 2002 | Value: 14.5
Year: 2003 | Value: 13.8
Year: 2004 | Value: 13.2
Year: 2005 | Value: 12.8
Year: 2006 | Value: 12.4
Year: 2007 | Value: 12.2
Year: 2008 | Value: 12
Year: 2009 | Value: 11.9
Year: 2010 | Value: 11.7
Year: 2011 | Value: 11.6
Year: 2012 | Value: 11.5
Year: 2013 | Value: 11.3
Year: 2014 | Value: 11.2
Year: 2015 | Value: 11.2
Year: 2016 | Value: 11.1
Year: 2017 | Value: 11
Year: 2018 | Value: 10.9
Year: 2019 | Value: 10.8
Year: 2020 | Value: 10.7
Year: 2021 | Value: 10.6
Year: 2022 | Value: 10.5
Year: 2023 | Value: 10.4
Remark: Oman
Remark: Mortality rate, under-5 (per 1,000 live births)
