Entity: OSS / SH.DYN.MORT
Year: 1990 | Value: 84.4948531708216
Year: 1991 | Value: 83.7556072208973
Year: 1992 | Value: 81.5911102227886
Year: 1993 | Value: 80.4870362991838
Year: 1994 | Value: 80.166820232308
Year: 1995 | Value: 81.0211391117738
Year: 1996 | Value: 79.7785792659033
Year: 1997 | Value: 79.0723822278799
Year: 1998 | Value: 79.9667157919108
Year: 1999 | Value: 82.0064357921688
Year: 2000 | Value: 64.9051871524608
Year: 2001 | Value: 64.4130549794921
Year: 2002 | Value: 63.188234196344
Year: 2003 | Value: 61.8430368790937
Year: 2004 | Value: 59.9894405245335
Year: 2005 | Value: 58.0961686636111
Year: 2006 | Value: 54.6699657577565
Year: 2007 | Value: 52.0847812902907
Year: 2008 | Value: 50.0591712443809
Year: 2009 | Value: 47.7414432934643
Year: 2010 | Value: 44.9066987405112
Year: 2011 | Value: 41.874074894448
Year: 2012 | Value: 40.073654025313
Year: 2013 | Value: 39.0270359462212
Year: 2014 | Value: 38.0400315146557
Year: 2015 | Value: 36.6458250782371
Year: 2016 | Value: 35.1508403003304
Year: 2017 | Value: 34.3612918416576
Year: 2018 | Value: 33.200197044335
Year: 2019 | Value: 32.7116130106463
Year: 2020 | Value: 31.82945015444
Year: 2021 | Value: 30.8066524524455
Year: 2022 | Value: 30.3131855764469
Year: 2023 | Value: 29.5328321926962
Remark: Other small states
Remark: Mortality rate, under-5 (per 1,000 live births)
