Entity: PSE / SH.DYN.MORT
Year: 1975 | Value: 108
Year: 1976 | Value: 101.6
Year: 1977 | Value: 95.5
Year: 1978 | Value: 89.8
Year: 1979 | Value: 84.5
Year: 1980 | Value: 79.5
Year: 1981 | Value: 74.8
Year: 1982 | Value: 70.4
Year: 1983 | Value: 66.3
Year: 1984 | Value: 62.5
Year: 1985 | Value: 58.9
Year: 1986 | Value: 55.6
Year: 1987 | Value: 52.5
Year: 1988 | Value: 49.7
Year: 1989 | Value: 47.2
Year: 1990 | Value: 44.9
Year: 1991 | Value: 42.8
Year: 1992 | Value: 40.9
Year: 1993 | Value: 39.2
Year: 1994 | Value: 37.7
Year: 1995 | Value: 36.2
Year: 1996 | Value: 34.9
Year: 1997 | Value: 33.6
Year: 1998 | Value: 32.4
Year: 1999 | Value: 31.3
Year: 2000 | Value: 30.3
Year: 2001 | Value: 29.4
Year: 2002 | Value: 28.5
Year: 2003 | Value: 27.7
Year: 2004 | Value: 26.8
Year: 2005 | Value: 26
Year: 2006 | Value: 25.2
Year: 2007 | Value: 24.3
Year: 2008 | Value: 23.5
Year: 2009 | Value: 22.8
Year: 2010 | Value: 22
Year: 2011 | Value: 21.2
Year: 2012 | Value: 20.4
Year: 2013 | Value: 19.7
Year: 2014 | Value: 22
Year: 2015 | Value: 18.3
Year: 2016 | Value: 17.6
Year: 2017 | Value: 16.9
Year: 2018 | Value: 16.3
Year: 2019 | Value: 15.7
Year: 2020 | Value: 15.2
Year: 2021 | Value: 14.7
Year: 2022 | Value: 14.2
Year: 2023 | Value: 26.3
Remark: West Bank and Gaza
Remark: Mortality rate, under-5 (per 1,000 live births)
