Entity: ROU / SH.DYN.MORT
Year: 1960 | Value: 88.2
Year: 1961 | Value: 79.8
Year: 1962 | Value: 69.8
Year: 1963 | Value: 60.3
Year: 1964 | Value: 54.5
Year: 1965 | Value: 54.4
Year: 1966 | Value: 58.3
Year: 1967 | Value: 62.7
Year: 1968 | Value: 64.4
Year: 1969 | Value: 62.3
Year: 1970 | Value: 56.9
Year: 1971 | Value: 50.6
Year: 1972 | Value: 46.4
Year: 1973 | Value: 44.9
Year: 1974 | Value: 44.3
Year: 1975 | Value: 42.7
Year: 1976 | Value: 40.5
Year: 1977 | Value: 38.6
Year: 1978 | Value: 37.6
Year: 1979 | Value: 36.8
Year: 1980 | Value: 35.7
Year: 1981 | Value: 34.4
Year: 1982 | Value: 32.8
Year: 1983 | Value: 31.4
Year: 1984 | Value: 30.8
Year: 1985 | Value: 31.6
Year: 1986 | Value: 33.3
Year: 1987 | Value: 34.5
Year: 1988 | Value: 34.3
Year: 1989 | Value: 33.1
Year: 1990 | Value: 31.4
Year: 1991 | Value: 29.7
Year: 1992 | Value: 28.4
Year: 1993 | Value: 27.9
Year: 1994 | Value: 27.6
Year: 1995 | Value: 27.3
Year: 1996 | Value: 26.8
Year: 1997 | Value: 25.8
Year: 1998 | Value: 24.4
Year: 1999 | Value: 22.9
Year: 2000 | Value: 21.6
Year: 2001 | Value: 20.6
Year: 2002 | Value: 20.1
Year: 2003 | Value: 19.9
Year: 2004 | Value: 19.4
Year: 2005 | Value: 18.2
Year: 2006 | Value: 16.6
Year: 2007 | Value: 15.1
Year: 2008 | Value: 14
Year: 2009 | Value: 13.1
Year: 2010 | Value: 12.4
Year: 2011 | Value: 11.8
Year: 2012 | Value: 11.2
Year: 2013 | Value: 10.5
Year: 2014 | Value: 9.9
Year: 2015 | Value: 9.2
Year: 2016 | Value: 8.5
Year: 2017 | Value: 7.9
Year: 2018 | Value: 7.3
Year: 2019 | Value: 6.8
Year: 2020 | Value: 6.6
Year: 2021 | Value: 6.5
Year: 2022 | Value: 6.6
Year: 2023 | Value: 6.6
Remark: Romania
Remark: Mortality rate, under-5 (per 1,000 live births)
