Entity: SAU / SH.DYN.MORT
Year: 1972 | Value: 159.6
Year: 1973 | Value: 149.3
Year: 1974 | Value: 139.8
Year: 1975 | Value: 130.7
Year: 1976 | Value: 122.3
Year: 1977 | Value: 114.4
Year: 1978 | Value: 106.9
Year: 1979 | Value: 99.9
Year: 1980 | Value: 93.4
Year: 1981 | Value: 87.1
Year: 1982 | Value: 81.2
Year: 1983 | Value: 75.6
Year: 1984 | Value: 70.4
Year: 1985 | Value: 65.5
Year: 1986 | Value: 60.7
Year: 1987 | Value: 56.2
Year: 1988 | Value: 51.9
Year: 1989 | Value: 48
Year: 1990 | Value: 44.4
Year: 1991 | Value: 41.1
Year: 1992 | Value: 38.1
Year: 1993 | Value: 35.4
Year: 1994 | Value: 32.9
Year: 1995 | Value: 30.6
Year: 1996 | Value: 28.6
Year: 1997 | Value: 26.7
Year: 1998 | Value: 25
Year: 1999 | Value: 23.5
Year: 2000 | Value: 22.1
Year: 2001 | Value: 20.8
Year: 2002 | Value: 19.6
Year: 2003 | Value: 18.5
Year: 2004 | Value: 17.5
Year: 2005 | Value: 16.5
Year: 2006 | Value: 15.6
Year: 2007 | Value: 14.7
Year: 2008 | Value: 13.8
Year: 2009 | Value: 13
Year: 2010 | Value: 12.2
Year: 2011 | Value: 11.5
Year: 2012 | Value: 10.8
Year: 2013 | Value: 10.2
Year: 2014 | Value: 9.6
Year: 2015 | Value: 9
Year: 2016 | Value: 8.5
Year: 2017 | Value: 8
Year: 2018 | Value: 7.6
Year: 2019 | Value: 7.2
Year: 2020 | Value: 6.9
Year: 2021 | Value: 6.6
Year: 2022 | Value: 6.4
Year: 2023 | Value: 6.2
Remark: Saudi Arabia
Remark: Mortality rate, under-5 (per 1,000 live births)
