Entity: SRB / SH.DYN.MORT
Year: 1984 | Value: 40.7
Year: 1985 | Value: 39.3
Year: 1986 | Value: 37.8
Year: 1987 | Value: 35.9
Year: 1988 | Value: 33.6
Year: 1989 | Value: 31
Year: 1990 | Value: 28.5
Year: 1991 | Value: 26.1
Year: 1992 | Value: 24.3
Year: 1993 | Value: 22.9
Year: 1994 | Value: 21.4
Year: 1995 | Value: 19.5
Year: 1996 | Value: 17.4
Year: 1997 | Value: 15.6
Year: 1998 | Value: 14.2
Year: 1999 | Value: 13.2
Year: 2000 | Value: 12.6
Year: 2001 | Value: 12
Year: 2002 | Value: 11.4
Year: 2003 | Value: 10.5
Year: 2004 | Value: 9.7
Year: 2005 | Value: 9
Year: 2006 | Value: 8.5
Year: 2007 | Value: 8.2
Year: 2008 | Value: 7.9
Year: 2009 | Value: 7.8
Year: 2010 | Value: 7.6
Year: 2011 | Value: 7.3
Year: 2012 | Value: 7.1
Year: 2013 | Value: 6.8
Year: 2014 | Value: 6.6
Year: 2015 | Value: 6.3
Year: 2016 | Value: 6.1
Year: 2017 | Value: 5.9
Year: 2018 | Value: 5.8
Year: 2019 | Value: 5.7
Year: 2020 | Value: 5.5
Year: 2021 | Value: 5.4
Year: 2022 | Value: 5.3
Year: 2023 | Value: 5.2
Remark: Serbia
Remark: Mortality rate, under-5 (per 1,000 live births)
