Entity: SWZ / SH.DYN.MORT
Year: 1960 | Value: 207.4
Year: 1961 | Value: 203.5
Year: 1962 | Value: 199.7
Year: 1963 | Value: 195.7
Year: 1964 | Value: 191.8
Year: 1965 | Value: 187.5
Year: 1966 | Value: 183.3
Year: 1967 | Value: 178.9
Year: 1968 | Value: 174.3
Year: 1969 | Value: 169.8
Year: 1970 | Value: 165
Year: 1971 | Value: 159.8
Year: 1972 | Value: 154.4
Year: 1973 | Value: 149
Year: 1974 | Value: 143.2
Year: 1975 | Value: 137.3
Year: 1976 | Value: 131.5
Year: 1977 | Value: 125.8
Year: 1978 | Value: 120.2
Year: 1979 | Value: 114.8
Year: 1980 | Value: 109.4
Year: 1981 | Value: 104.1
Year: 1982 | Value: 98.9
Year: 1983 | Value: 104.3
Year: 1984 | Value: 88.5
Year: 1985 | Value: 83.7
Year: 1986 | Value: 79.3
Year: 1987 | Value: 75.4
Year: 1988 | Value: 72
Year: 1989 | Value: 69.3
Year: 1990 | Value: 67.5
Year: 1991 | Value: 67.2
Year: 1992 | Value: 68.5
Year: 1993 | Value: 71.7
Year: 1994 | Value: 76.2
Year: 1995 | Value: 81.2
Year: 1996 | Value: 87.1
Year: 1997 | Value: 93
Year: 1998 | Value: 98.7
Year: 1999 | Value: 104.1
Year: 2000 | Value: 109.1
Year: 2001 | Value: 112.6
Year: 2002 | Value: 114.3
Year: 2003 | Value: 115.7
Year: 2004 | Value: 116.2
Year: 2005 | Value: 115.5
Year: 2006 | Value: 105.3
Year: 2007 | Value: 100
Year: 2008 | Value: 98.2
Year: 2009 | Value: 92.5
Year: 2010 | Value: 81.8
Year: 2011 | Value: 68.1
Year: 2012 | Value: 63.8
Year: 2013 | Value: 61.6
Year: 2014 | Value: 61.7
Year: 2015 | Value: 58.6
Year: 2016 | Value: 55.3
Year: 2017 | Value: 54.3
Year: 2018 | Value: 51
Year: 2019 | Value: 51.6
Year: 2020 | Value: 49.8
Year: 2021 | Value: 47.6
Year: 2022 | Value: 46.2
Year: 2023 | Value: 45
Remark: Eswatini
Remark: Mortality rate, under-5 (per 1,000 live births)
