Entity: TSS / SH.DYN.MORT
Year: 1990 | Value: 179.072720324501
Year: 1991 | Value: 181.333868942814
Year: 1992 | Value: 180.281730619694
Year: 1993 | Value: 174.878230770996
Year: 1994 | Value: 174.290092540039
Year: 1995 | Value: 169.619988587999
Year: 1996 | Value: 166.856796061782
Year: 1997 | Value: 163.632339661585
Year: 1998 | Value: 161.704222204829
Year: 1999 | Value: 154.985863913322
Year: 2000 | Value: 150.152482373439
Year: 2001 | Value: 144.927681003911
Year: 2002 | Value: 139.2679307484
Year: 2003 | Value: 133.796050853985
Year: 2004 | Value: 128.833376644486
Year: 2005 | Value: 123.554313153647
Year: 2006 | Value: 118.02933050821
Year: 2007 | Value: 113.237383315723
Year: 2008 | Value: 108.571954175885
Year: 2009 | Value: 106.418446946362
Year: 2010 | Value: 101.276758239549
Year: 2011 | Value: 100.777287562948
Year: 2012 | Value: 94.8316064591369
Year: 2013 | Value: 91.4890316967177
Year: 2014 | Value: 90.2273211054321
Year: 2015 | Value: 87.8842546727837
Year: 2016 | Value: 85.6089390755277
Year: 2017 | Value: 83.8323958721893
Year: 2018 | Value: 79.5964778409789
Year: 2019 | Value: 77.4828020636637
Year: 2020 | Value: 74.4940703103752
Year: 2021 | Value: 72.6404343132429
Year: 2022 | Value: 72.453904070387
Year: 2023 | Value: 68.0522278916853
Remark: Sub-Saharan Africa (IDA & IBRD countries)
Remark: Mortality rate, under-5 (per 1,000 live births)
