Entity: UMC / SH.DYN.MORT
Year: 1990 | Value: 56.4
Year: 1991 | Value: 55
Year: 1992 | Value: 53.2
Year: 1993 | Value: 51.5
Year: 1994 | Value: 49.5
Year: 1995 | Value: 47.6
Year: 1996 | Value: 45.7
Year: 1997 | Value: 43.7
Year: 1998 | Value: 41.7
Year: 1999 | Value: 39.7
Year: 2000 | Value: 37.7
Year: 2001 | Value: 35.7
Year: 2002 | Value: 33.8
Year: 2003 | Value: 31.9
Year: 2004 | Value: 30.9
Year: 2005 | Value: 28.5
Year: 2006 | Value: 26.9
Year: 2007 | Value: 25.2
Year: 2008 | Value: 23.7
Year: 2009 | Value: 22.2
Year: 2010 | Value: 21
Year: 2011 | Value: 19.9
Year: 2012 | Value: 18.8
Year: 2013 | Value: 18
Year: 2014 | Value: 17.1
Year: 2015 | Value: 16.4
Year: 2016 | Value: 15.7
Year: 2017 | Value: 14.9
Year: 2018 | Value: 14.7
Year: 2019 | Value: 14.4
Year: 2020 | Value: 14.4
Year: 2021 | Value: 14.3
Year: 2022 | Value: 14.1
Year: 2023 | Value: 14.1
Remark: Upper middle income
Remark: Mortality rate, under-5 (per 1,000 live births)
