Entity: VGB / SH.DYN.MORT
Year: 1960 | Value: 90.3
Year: 1961 | Value: 84.8
Year: 1962 | Value: 79.7
Year: 1963 | Value: 74.8
Year: 1964 | Value: 70.2
Year: 1965 | Value: 65.8
Year: 1966 | Value: 61.7
Year: 1967 | Value: 57.9
Year: 1968 | Value: 54.5
Year: 1969 | Value: 51.4
Year: 1970 | Value: 48.6
Year: 1971 | Value: 46.1
Year: 1972 | Value: 43.9
Year: 1973 | Value: 42.1
Year: 1974 | Value: 40.5
Year: 1975 | Value: 39.2
Year: 1976 | Value: 38.2
Year: 1977 | Value: 37.2
Year: 1978 | Value: 36.4
Year: 1979 | Value: 35.5
Year: 1980 | Value: 34.6
Year: 1981 | Value: 33.6
Year: 1982 | Value: 32.5
Year: 1983 | Value: 31.4
Year: 1984 | Value: 30.2
Year: 1985 | Value: 29
Year: 1986 | Value: 27.8
Year: 1987 | Value: 26.5
Year: 1988 | Value: 25.3
Year: 1989 | Value: 24.1
Year: 1990 | Value: 22.9
Year: 1991 | Value: 21.9
Year: 1992 | Value: 21
Year: 1993 | Value: 20.2
Year: 1994 | Value: 19.5
Year: 1995 | Value: 18.9
Year: 1996 | Value: 18.3
Year: 1997 | Value: 17.9
Year: 1998 | Value: 17.5
Year: 1999 | Value: 17.1
Year: 2000 | Value: 16.8
Year: 2001 | Value: 16.6
Year: 2002 | Value: 16.3
Year: 2003 | Value: 16.1
Year: 2004 | Value: 16
Year: 2005 | Value: 15.9
Year: 2006 | Value: 15.8
Year: 2007 | Value: 15.7
Year: 2008 | Value: 15.7
Year: 2009 | Value: 15.6
Year: 2010 | Value: 15.6
Year: 2011 | Value: 15.6
Year: 2012 | Value: 15.6
Year: 2013 | Value: 15.6
Year: 2014 | Value: 15.6
Year: 2015 | Value: 15.5
Year: 2016 | Value: 15.2
Year: 2017 | Value: 15
Year: 2018 | Value: 14.6
Year: 2019 | Value: 14.3
Year: 2020 | Value: 13.9
Year: 2021 | Value: 13.5
Year: 2022 | Value: 13.1
Year: 2023 | Value: 12.7
Remark: British Virgin Islands
Remark: Mortality rate, under-5 (per 1,000 live births)
