Entity: AFE / SH.STA.MMRT
Year: 1985 | Value: 1050
Year: 1986 | Value: 1000
Year: 1987 | Value: 1060
Year: 1988 | Value: 984
Year: 1989 | Value: 954
Year: 1990 | Value: 933
Year: 1991 | Value: 903
Year: 1992 | Value: 938
Year: 1993 | Value: 913
Year: 1994 | Value: 858
Year: 1995 | Value: 782
Year: 1996 | Value: 762
Year: 1997 | Value: 733
Year: 1998 | Value: 773
Year: 1999 | Value: 646
Year: 2000 | Value: 612
Year: 2001 | Value: 586
Year: 2002 | Value: 564
Year: 2003 | Value: 537
Year: 2004 | Value: 516
Year: 2005 | Value: 510
Year: 2006 | Value: 505
Year: 2007 | Value: 505
Year: 2008 | Value: 503
Year: 2009 | Value: 491
Year: 2010 | Value: 476
Year: 2011 | Value: 457
Year: 2012 | Value: 433
Year: 2013 | Value: 419
Year: 2014 | Value: 409
Year: 2015 | Value: 394
Year: 2016 | Value: 376
Year: 2017 | Value: 354
Year: 2018 | Value: 327
Year: 2019 | Value: 308
Year: 2020 | Value: 290
Year: 2021 | Value: 312
Year: 2022 | Value: 269
Year: 2023 | Value: 268
Remark: Africa Eastern and Southern
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
