Entity: AFG / SH.STA.MMRT
Year: 1985 | Value: 2232
Year: 1986 | Value: 1857
Year: 1987 | Value: 1821
Year: 1988 | Value: 1572
Year: 1989 | Value: 1520
Year: 1990 | Value: 1550
Year: 1991 | Value: 1534
Year: 1992 | Value: 1443
Year: 1993 | Value: 1347
Year: 1994 | Value: 1396
Year: 1995 | Value: 1414
Year: 1996 | Value: 1389
Year: 1997 | Value: 1376
Year: 1998 | Value: 1464
Year: 1999 | Value: 1346
Year: 2000 | Value: 1372
Year: 2001 | Value: 1311
Year: 2002 | Value: 1263
Year: 2003 | Value: 1201
Year: 2004 | Value: 1166
Year: 2005 | Value: 1108
Year: 2006 | Value: 1069
Year: 2007 | Value: 1032
Year: 2008 | Value: 955
Year: 2009 | Value: 925
Year: 2010 | Value: 893
Year: 2011 | Value: 838
Year: 2012 | Value: 810
Year: 2013 | Value: 778
Year: 2014 | Value: 755
Year: 2015 | Value: 741
Year: 2016 | Value: 702
Year: 2017 | Value: 659
Year: 2018 | Value: 629
Year: 2019 | Value: 601
Year: 2020 | Value: 634
Year: 2021 | Value: 660
Year: 2022 | Value: 551
Year: 2023 | Value: 521
Remark: Afghanistan
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
