Entity: AFW / SH.STA.MMRT
Year: 1985 | Value: 1140
Year: 1986 | Value: 1140
Year: 1987 | Value: 1120
Year: 1988 | Value: 1100
Year: 1989 | Value: 1070
Year: 1990 | Value: 1060
Year: 1991 | Value: 1050
Year: 1992 | Value: 1020
Year: 1993 | Value: 995
Year: 1994 | Value: 985
Year: 1995 | Value: 969
Year: 1996 | Value: 960
Year: 1997 | Value: 949
Year: 1998 | Value: 944
Year: 1999 | Value: 927
Year: 2000 | Value: 907
Year: 2001 | Value: 899
Year: 2002 | Value: 886
Year: 2003 | Value: 866
Year: 2004 | Value: 851
Year: 2005 | Value: 839
Year: 2006 | Value: 840
Year: 2007 | Value: 834
Year: 2008 | Value: 840
Year: 2009 | Value: 842
Year: 2010 | Value: 839
Year: 2011 | Value: 836
Year: 2012 | Value: 834
Year: 2013 | Value: 832
Year: 2014 | Value: 827
Year: 2015 | Value: 820
Year: 2016 | Value: 799
Year: 2017 | Value: 782
Year: 2018 | Value: 757
Year: 2019 | Value: 744
Year: 2020 | Value: 720
Year: 2021 | Value: 716
Year: 2022 | Value: 674
Year: 2023 | Value: 650
Remark: Africa Western and Central
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
