Entity: BRA / SH.STA.MMRT
Year: 1985 | Value: 186
Year: 1986 | Value: 176
Year: 1987 | Value: 167
Year: 1988 | Value: 161
Year: 1989 | Value: 150
Year: 1990 | Value: 140
Year: 1991 | Value: 128
Year: 1992 | Value: 118
Year: 1993 | Value: 113
Year: 1994 | Value: 108
Year: 1995 | Value: 103
Year: 1996 | Value: 98
Year: 1997 | Value: 92
Year: 1998 | Value: 84
Year: 1999 | Value: 75
Year: 2000 | Value: 69
Year: 2001 | Value: 66
Year: 2002 | Value: 66
Year: 2003 | Value: 67
Year: 2004 | Value: 70
Year: 2005 | Value: 71
Year: 2006 | Value: 72
Year: 2007 | Value: 73
Year: 2008 | Value: 71
Year: 2009 | Value: 69
Year: 2010 | Value: 66
Year: 2011 | Value: 62
Year: 2012 | Value: 60
Year: 2013 | Value: 61
Year: 2014 | Value: 63
Year: 2015 | Value: 63
Year: 2016 | Value: 64
Year: 2017 | Value: 61
Year: 2018 | Value: 62
Year: 2019 | Value: 65
Year: 2020 | Value: 85
Year: 2021 | Value: 128
Year: 2022 | Value: 104
Year: 2023 | Value: 67
Remark: Brazil
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
