Entity: DMA / SH.STA.MMRT
Year: 1985 | Value: 61
Year: 1986 | Value: 63
Year: 1987 | Value: 63
Year: 1988 | Value: 68
Year: 1989 | Value: 69
Year: 1990 | Value: 77
Year: 1991 | Value: 81
Year: 1992 | Value: 80
Year: 1993 | Value: 79
Year: 1994 | Value: 77
Year: 1995 | Value: 73
Year: 1996 | Value: 71
Year: 1997 | Value: 67
Year: 1998 | Value: 64
Year: 1999 | Value: 64
Year: 2000 | Value: 61
Year: 2001 | Value: 58
Year: 2002 | Value: 56
Year: 2003 | Value: 55
Year: 2004 | Value: 54
Year: 2005 | Value: 54
Year: 2006 | Value: 54
Year: 2007 | Value: 53
Year: 2008 | Value: 53
Year: 2009 | Value: 50
Year: 2010 | Value: 50
Year: 2011 | Value: 49
Year: 2012 | Value: 51
Year: 2013 | Value: 50
Year: 2014 | Value: 53
Year: 2015 | Value: 63
Year: 2016 | Value: 48
Year: 2017 | Value: 44
Year: 2018 | Value: 43
Year: 2019 | Value: 41
Year: 2020 | Value: 47
Year: 2021 | Value: 110
Year: 2022 | Value: 44
Year: 2023 | Value: 36
Remark: Dominica
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
