Entity: DZA / SH.STA.MMRT
Year: 1985 | Value: 292
Year: 1986 | Value: 265
Year: 1987 | Value: 243
Year: 1988 | Value: 227
Year: 1989 | Value: 215
Year: 1990 | Value: 202
Year: 1991 | Value: 198
Year: 1992 | Value: 193
Year: 1993 | Value: 195
Year: 1994 | Value: 196
Year: 1995 | Value: 187
Year: 1996 | Value: 173
Year: 1997 | Value: 155
Year: 1998 | Value: 143
Year: 1999 | Value: 132
Year: 2000 | Value: 123
Year: 2001 | Value: 113
Year: 2002 | Value: 102
Year: 2003 | Value: 101
Year: 2004 | Value: 91
Year: 2005 | Value: 87
Year: 2006 | Value: 84
Year: 2007 | Value: 83
Year: 2008 | Value: 83
Year: 2009 | Value: 83
Year: 2010 | Value: 82
Year: 2011 | Value: 81
Year: 2012 | Value: 81
Year: 2013 | Value: 81
Year: 2014 | Value: 80
Year: 2015 | Value: 79
Year: 2016 | Value: 79
Year: 2017 | Value: 77
Year: 2018 | Value: 75
Year: 2019 | Value: 73
Year: 2020 | Value: 97
Year: 2021 | Value: 79
Year: 2022 | Value: 64
Year: 2023 | Value: 62
Remark: Algeria
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
