Entity: GAB / SH.STA.MMRT
Year: 1985 | Value: 373
Year: 1986 | Value: 369
Year: 1987 | Value: 366
Year: 1988 | Value: 367
Year: 1989 | Value: 366
Year: 1990 | Value: 368
Year: 1991 | Value: 369
Year: 1992 | Value: 371
Year: 1993 | Value: 364
Year: 1994 | Value: 357
Year: 1995 | Value: 341
Year: 1996 | Value: 321
Year: 1997 | Value: 290
Year: 1998 | Value: 258
Year: 1999 | Value: 216
Year: 2000 | Value: 178
Year: 2001 | Value: 160
Year: 2002 | Value: 151
Year: 2003 | Value: 134
Year: 2004 | Value: 142
Year: 2005 | Value: 175
Year: 2006 | Value: 186
Year: 2007 | Value: 173
Year: 2008 | Value: 158
Year: 2009 | Value: 158
Year: 2010 | Value: 144
Year: 2011 | Value: 149
Year: 2012 | Value: 173
Year: 2013 | Value: 235
Year: 2014 | Value: 273
Year: 2015 | Value: 239
Year: 2016 | Value: 215
Year: 2017 | Value: 184
Year: 2018 | Value: 176
Year: 2019 | Value: 179
Year: 2020 | Value: 194
Year: 2021 | Value: 249
Year: 2022 | Value: 216
Year: 2023 | Value: 233
Remark: Gabon
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
